Order_ID,Order_Date,Dispatch_Date,Estimated_Delivery,Actual_Delivery,Delivery_Status,Region,City,Parent_Company,Category,Brand,Product,Number_of_Boxes,Total_Weight_KG,Order_Value_SAR,Delivery_Carrier,Payment_Method,Customer_Type,Days_Late,On_Time,City_Latitude,City_Longitude,Region_Latitude,Region_Longitude,Carrier Latitude,Carrier Longitude,Carrier_Latitude_old,Carrier_Longitude_old
ORD1010,11/08/2024,11/08/2024,13/08/2024,13/08/2024,Delivered,Al Bahah,Al Mandaq,Unilever,Personal Care,Lux,Lux Body Wash,8,32.68,1186.32,Saudi Post,Corporate Account,Retail,0,True,20.1233,41.2806,20.0129,41.4677,20.0172,41.4718,24.774265,46.738586
ORD1011,18/12/2023,18/12/2023,21/12/2023,23/12/2023,Partially Delivered,Qassim,Unaizah,PepsiCo,Beverages,7Up,7Up 1L Bottle,20,32.86,3691.77,Fetchr,Bank Transfer,Hospital,2,False,26.0889,43.9919,26.3259,43.974,26.327,43.972,24.7961,46.6753
ORD1012,04/07/2024,05/07/2024,07/07/2024,07/07/2024,Delivered,Najran,Hubuna,Almarai,Dairy,Lusine,Lusine Cheese 200g,11,25.1,1984.98,Naqel,Cash on Delivery,Supermarket,0,True,17.3,44.1167,17.565,44.2289,26.471,50.1055,24.6531,46.7141
ORD1013,20/01/2025,21/01/2025,23/01/2025,23/01/2025,Delivered,Northern Borders,Al Uwayqilah,Unilever,Personal Care,Lux,Lux Body Wash,8,36.94,1310.45,Naqel,Cash on Delivery,Retail,0,True,29.7481,41.2831,30.9753,41.0381,30.003,41.0005,24.6531,46.7141
ORD1014,10/02/2024,12/02/2024,15/02/2024,15/02/2024,Delivered,Najran,Badr Al Janub,Nestlé,Confectionery,Quality,Quality Street Tin,15,37.19,2912.17,Aramex,Cash on Delivery,Restaurant,0,True,17.9222,43.6611,17.565,44.2289,26.4207,50.0888,24.7838,46.6312
ORD1015,08/01/2024,08/01/2024,09/01/2024,09/01/2024,Delivered,Jazan,Al Dayer,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,4,18.54,434.91,Aramex,Cash on Delivery,Supermarket,0,True,17.3113,43.1267,16.8892,42.5703,16.8892,42.5708,24.7838,46.6312
ORD1016,03/11/2024,05/11/2024,08/11/2024,08/11/2024,Delivered,Northern Borders,Turaif,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,18,38.02,1055.71,DHL,Credit Card,Supermarket,0,True,31.6725,38.663,30.9753,41.0381,30.002,41.0015,24.7292,46.6443
ORD1017,07/01/2023,07/01/2023,08/01/2023,12/01/2023,Cancelled,Eastern Province,Dhahran,Almarai,Juices,Almarai,Almarai Mango 1.5L,7,30.35,1127.51,Saudi Post,Bank Transfer,School,4,False,26.3032,50.1353,26.4207,50.0888,17.4933,44.12,24.774265,46.738586
ORD1018,15/02/2025,17/02/2025,21/02/2025,21/02/2025,Delivered,Najran,Najran,Unilever,Food,Lipton,Lipton Yellow Label 100g,2,5.98,290.19,Naqel,Cash on Delivery,Hospital,0,True,17.565,44.2289,17.565,44.2289,26.471,50.1055,24.6531,46.7141
ORD1019,19/06/2024,20/06/2024,23/06/2024,23/06/2024,Delivered,Hail,Al Shinan,Almarai,Dairy,Almarai,Almarai Milk 1L,2,3.42,180.53,Fetchr,Cash on Delivery,Supermarket,0,True,27.1667,42.0333,27.5114,41.7208,27.5135,41.72,24.7961,46.6753
ORD1020,11/05/2024,13/05/2024,17/05/2024,17/05/2024,Delivered,Makkah,Al Lith,Procter & Gamble,Personal Care,Gillette,Gillette Razor,8,32.95,1084.22,DHL,Corporate Account,Retail,0,True,20.131,40.2665,21.3891,39.8579,21.3912,39.8601,24.7292,46.6443
ORD1021,01/07/2023,03/07/2023,04/07/2023,04/07/2023,Delivered,Jazan,Jazan,Procter & Gamble,Personal Care,Gillette,Gillette Razor,5,9.01,389.36,DHL,Credit Card,Supermarket,0,True,16.8892,42.5703,16.8892,42.5703,16.8905,42.5715,24.7292,46.6443
ORD1022,24/11/2024,26/11/2024,27/11/2024,30/11/2024,Cancelled,Makkah,Jeddah,Procter & Gamble,Personal Care,Gillette,Gillette Razor,8,39.54,1304.89,Fetchr,Bank Transfer,School,3,False,21.4858,39.1925,21.3891,39.8579,21.3882,39.8595,24.7961,46.6753
ORD1023,21/08/2023,22/08/2023,25/08/2023,25/08/2023,Delivered,Makkah,Al Qunfudhah,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,20,88.13,2629.26,Aramex,Bank Transfer,Restaurant,0,True,19.1254,41.078,21.3891,39.8579,21.3891,39.8579,24.7838,46.6312
ORD1024,18/12/2023,19/12/2023,22/12/2023,22/12/2023,Delivered,Al Bahah,Al Bahah,Nestlé,Confectionery,Quality,Quality Street Tin,13,62.72,1197.83,Fetchr,Bank Transfer,Restaurant,0,True,20.0129,41.4677,20.0129,41.4677,20.015,41.4685,24.7961,46.6753
ORD1025,23/09/2024,23/09/2024,25/09/2024,25/09/2024,Delivered,Jazan,Al Dayer,Unilever,Food,Lipton,Lipton Yellow Label 100g,12,20.79,917.75,Saudi Post,Credit Card,Retail,0,True,17.3113,43.1267,16.8892,42.5703,17.3411,42.5911,24.774265,46.738586
ORD1026,07/01/2023,07/01/2023,10/01/2023,10/01/2023,Delivered,Tabuk,Umluj,Procter & Gamble,Personal Care,Gillette,Gillette Razor,3,12.48,297.4,Naqel,Corporate Account,School,0,True,25.0213,37.2685,28.3838,36.555,28.3655,36.5432,24.6531,46.7141
ORD1027,19/01/2023,20/01/2023,24/01/2023,24/01/2023,Delivered,Asir,Sarat Abidah,Almarai,Dairy,Almarai,Almarai Milk 1L,12,40.97,1557.09,Saudi Post,Cash on Delivery,School,0,True,18.0677,43.1499,18.2164,42.5053,20.0394,42.2969,24.774265,46.738586
ORD1028,26/09/2023,26/09/2023,30/09/2023,30/09/2023,Delivered,Hail,Hail,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,11,40.16,1966.14,Fetchr,Bank Transfer,School,0,True,27.5114,41.7208,27.5114,41.7208,27.5135,41.72,24.7961,46.6753
ORD1029,09/02/2025,10/02/2025,13/02/2025,13/02/2025,Delivered,Najran,Sharurah,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,1,2.51,136.33,DHL,Bank Transfer,School,0,True,17.4753,47.1216,17.565,44.2289,26.4361,50.1032,24.7292,46.6443
ORD1030,31/07/2024,31/07/2024,02/08/2024,02/08/2024,Delivered,Asir,Bisha,Almarai,Dairy,Almarai,Almarai Milk 1L,16,63.08,1831.32,DHL,Cash on Delivery,Restaurant,0,True,19.9874,42.5891,18.2164,42.5053,18.217,42.507,24.7292,46.6443
ORD1031,01/03/2024,02/03/2024,05/03/2024,05/03/2024,Delivered,Tabuk,Duba,Unilever,Food,Lipton,Lipton Yellow Label 100g,6,25.56,896.84,Fetchr,Cash on Delivery,Supermarket,0,True,27.351,35.6852,28.3838,36.555,28.3702,36.547,24.7961,46.6753
ORD1032,16/10/2023,17/10/2023,20/10/2023,20/10/2023,Delivered,Makkah,Jeddah,Procter & Gamble,Personal Care,Gillette,Gillette Razor,10,47.65,1932.16,DHL,Bank Transfer,School,0,True,21.4858,39.1925,21.3891,39.8579,21.3912,39.8601,24.7292,46.6443
ORD1033,02/05/2024,02/05/2024,05/05/2024,05/05/2024,Delivered,Qassim,Buraidah,Unilever,Personal Care,Lux,Lux Body Wash,2,5.83,321.58,Fetchr,Credit Card,Supermarket,0,True,26.3259,43.974,26.3259,43.974,26.327,43.972,24.7961,46.6753
ORD1034,10/01/2025,10/01/2025,13/01/2025,13/01/2025,Delivered,Makkah,Al Qunfudhah,Unilever,Personal Care,Lux,Lux Body Wash,5,13.92,287.15,Naqel,Cash on Delivery,Supermarket,0,True,19.1254,41.078,21.3891,39.8579,21.3905,39.8555,24.6531,46.7141
ORD1035,25/05/2024,25/05/2024,26/05/2024,26/05/2024,Delivered,Qassim,Ar Rass,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,12,34.56,1279.84,Naqel,Cash on Delivery,Supermarket,0,True,25.8694,43.4973,26.3259,43.974,26.3282,43.9752,24.6531,46.7141
ORD1036,08/05/2023,09/05/2023,10/05/2023,10/05/2023,Delivered,Hail,Hail,Almarai,Dairy,Almarai,Almarai Milk 1L,1,3.68,154.18,Aramex,Corporate Account,Restaurant,0,True,27.5114,41.7208,27.5114,41.7208,27.5114,41.7208,24.7838,46.6312
ORD1037,01/06/2024,01/06/2024,02/06/2024,02/06/2024,Delivered,Eastern Province,Dhahran,Almarai,Dairy,Almarai,Almarai Milk 1L,9,25.11,755.52,Naqel,Bank Transfer,Restaurant,0,True,26.3032,50.1353,26.4207,50.0888,17.51,44.14,24.6531,46.7141
ORD1038,28/02/2025,28/02/2025,02/03/2025,07/03/2025,Partially Delivered,Northern Borders,Turaif,Almarai,Juices,Almarai,Almarai Mango 1.5L,15,69.55,2919.26,Saudi Post,Corporate Account,Supermarket,5,False,31.6725,38.663,30.9753,41.0381,30.004,41.001,24.774265,46.738586
ORD1039,17/07/2024,19/07/2024,20/07/2024,20/07/2024,Delivered,Riyadh,Al Majmaah,Procter & Gamble,Personal Care,Gillette,Gillette Razor,3,6.93,369.24,DHL,Cash on Delivery,School,0,True,25.9121,45.3488,24.7136,46.6753,24.7599,46.6739,24.7292,46.6443
ORD1040,01/02/2024,03/02/2024,07/02/2024,07/02/2024,Delivered,Qassim,Buraidah,Almarai,Juices,Almarai,Almarai Apple 1.5L,18,30.17,3253.16,Aramex,Corporate Account,Restaurant,0,True,26.3259,43.974,26.3259,43.974,26.3256,43.974,24.7838,46.6312
ORD1041,13/01/2024,15/01/2024,16/01/2024,16/01/2024,Delivered,Madinah,Madinah,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,4,12.33,286.89,Aramex,Corporate Account,School,0,True,24.5247,39.5692,24.5247,39.5692,24.5247,39.5692,24.7838,46.6312
ORD1042,17/10/2024,17/10/2024,20/10/2024,20/10/2024,Delivered,Tabuk,Tabuk,Unilever,Food,Lipton,Lipton Yellow Label 100g,20,34.12,1847.45,Fetchr,Cash on Delivery,Retail,0,True,28.3838,36.555,28.3838,36.555,28.3702,36.547,24.7961,46.6753
ORD1043,23/01/2024,25/01/2024,28/01/2024,28/01/2024,Delivered,Najran,Hubuna,Almarai,Juices,Almarai,Almarai Mango 1.5L,6,28.5,932.63,Saudi Post,Cash on Delivery,Retail,0,True,17.3,44.1167,17.565,44.2289,26.42,50.1,24.774265,46.738586
ORD1044,09/01/2025,11/01/2025,15/01/2025,15/01/2025,Delivered,Najran,Badr Al Janub,Nestlé,Confectionery,KitKat,KitKat 4-finger,2,4.44,106.92,Saudi Post,Credit Card,Hospital,0,True,17.9222,43.6611,17.565,44.2289,26.42,50.1,24.774265,46.738586
ORD1045,08/03/2024,09/03/2024,10/03/2024,10/03/2024,Delivered,Madinah,Madinah,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,4,19.42,755.36,Aramex,Cash on Delivery,Supermarket,0,True,24.5247,39.5692,24.5247,39.5692,24.5247,39.5692,24.7838,46.6312
ORD1046,27/10/2024,29/10/2024,30/10/2024,30/10/2024,Delivered,Madinah,Badr,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,9,37.89,1503.01,DHL,Bank Transfer,Supermarket,0,True,23.7829,38.7906,24.5247,39.5692,24.5252,39.5685,24.7292,46.6443
ORD1047,27/05/2024,27/05/2024,30/05/2024,30/05/2024,Delivered,Riyadh,Al Majmaah,Nestlé,Beverages,Milo,Milo 400g,7,32.99,892.72,Saudi Post,Corporate Account,Hospital,0,True,25.9121,45.3488,24.7136,46.6753,24.7136,46.7684,24.774265,46.738586
ORD1048,15/06/2023,16/06/2023,19/06/2023,19/06/2023,Delivered,Hail,Baqa,Unilever,Food,Lipton,Lipton Yellow Label 100g,15,53,2980.89,Naqel,Bank Transfer,Hospital,0,True,26.3256,43.4885,27.5114,41.7208,27.5145,41.7222,24.6531,46.7141
ORD1049,03/02/2024,05/02/2024,08/02/2024,08/02/2024,Delivered,Madinah,Badr,Unilever,Personal Care,Dove,Dove Soap 90g,2,5.75,248.52,Aramex,Bank Transfer,Retail,0,True,23.7829,38.7906,24.5247,39.5692,24.5247,39.5692,24.7838,46.6312
ORD1050,01/10/2023,03/10/2023,06/10/2023,06/10/2023,Delivered,Najran,Badr Al Janub,Unilever,Food,Lipton,Lipton Yellow Label 100g,7,17.41,965.41,Saudi Post,Cash on Delivery,Supermarket,0,True,17.9222,43.6611,17.565,44.2289,26.42,50.1,24.774265,46.738586
ORD1051,04/01/2023,05/01/2023,06/01/2023,09/01/2023,Cancelled,Makkah,Al Qunfudhah,Almarai,Dairy,Almarai,Almarai Milk 1L,15,74.47,1135.08,Naqel,Bank Transfer,Hospital,3,False,19.1254,41.078,21.3891,39.8579,21.3905,39.8555,24.6531,46.7141
ORD1052,01/02/2023,03/02/2023,05/02/2023,05/02/2023,Delivered,Tabuk,Al Wajh,Nestlé,Confectionery,KitKat,KitKat 4-finger,17,44.03,1784.53,Saudi Post,Corporate Account,Restaurant,0,True,26.2442,36.452,28.3838,36.555,28.388,36.561,24.774265,46.738586
ORD1053,24/11/2023,26/11/2023,27/11/2023,27/11/2023,Delivered,Eastern Province,Dammam,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,5,23.97,537.38,Saudi Post,Cash on Delivery,Supermarket,0,True,26.4207,50.0888,26.4207,50.0888,17.4933,44.12,24.774265,46.738586
ORD1054,09/06/2024,10/06/2024,11/06/2024,11/06/2024,Delivered,Jazan,Al Dayer,Almarai,Dairy,Almarai,Almarai Milk 1L,7,12.74,633.74,Fetchr,Corporate Account,School,0,True,17.3113,43.1267,16.8892,42.5703,16.8882,42.569,24.7961,46.6753
ORD1055,26/09/2024,26/09/2024,30/09/2024,30/09/2024,Delivered,Eastern Province,Dhahran,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,3,13.5,205.55,Naqel,Credit Card,Supermarket,0,True,26.3032,50.1353,26.4207,50.0888,17.51,44.14,24.6531,46.7141
ORD1056,08/10/2023,09/10/2023,10/10/2023,10/10/2023,Delivered,Riyadh,Dhurma,Almarai,Juices,Almarai,Almarai Apple 1.5L,17,64.59,861.02,Fetchr,Bank Transfer,Supermarket,0,True,24.4667,46.1167,24.7136,46.6753,24.72,46.765,24.7961,46.6753
ORD1057,23/02/2025,24/02/2025,28/02/2025,28/02/2025,Delivered,Najran,Badr Al Janub,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,17,72.9,1763.69,Naqel,Credit Card,Supermarket,0,True,17.9222,43.6611,17.565,44.2289,26.471,50.1055,24.6531,46.7141
ORD1058,30/06/2024,30/06/2024,04/07/2024,04/07/2024,Delivered,Jazan,Al Dayer,Almarai,Juices,Almarai,Almarai Apple 1.5L,16,54.47,1121.77,Fetchr,Credit Card,Hospital,0,True,17.3113,43.1267,16.8892,42.5703,16.8882,42.569,24.7961,46.6753
ORD1059,22/02/2025,24/02/2025,26/02/2025,26/02/2025,Delivered,Qassim,Ar Rass,Unilever,Personal Care,Dove,Dove Soap 90g,6,28.85,1174.04,Fetchr,Bank Transfer,Restaurant,0,True,25.8694,43.4973,26.3259,43.974,26.327,43.972,24.7961,46.6753
ORD1060,21/05/2023,22/05/2023,25/05/2023,25/05/2023,Delivered,Najran,Hubuna,Unilever,Personal Care,Lux,Lux Body Wash,4,10.28,430.06,Naqel,Credit Card,Restaurant,0,True,17.3,44.1167,17.565,44.2289,26.471,50.1055,24.6531,46.7141
ORD1061,02/07/2023,04/07/2023,08/07/2023,08/07/2023,Delivered,Tabuk,Haql,Nestlé,Dairy,Nido,Nido 900g,18,73.31,1060.14,Naqel,Credit Card,School,0,True,29.1531,34.9431,28.3838,36.555,28.3655,36.5432,24.6531,46.7141
ORD1062,01/04/2023,02/04/2023,04/04/2023,04/04/2023,Delivered,Madinah,Yanbu,Almarai,Juices,Almarai,Almarai Apple 1.5L,15,70.63,1904.84,Naqel,Corporate Account,Restaurant,0,True,24.0899,38.0637,24.5247,39.5692,24.5222,39.5665,24.6531,46.7141
ORD1063,08/02/2023,08/02/2023,10/02/2023,10/02/2023,Delivered,Tabuk,Tabuk,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,11,53.91,1949.85,Fetchr,Cash on Delivery,Supermarket,0,True,28.3838,36.555,28.3838,36.555,28.3702,36.547,24.7961,46.6753
ORD1064,22/10/2024,24/10/2024,28/10/2024,28/10/2024,Delivered,Riyadh,Al Majmaah,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,14,67.85,1894.97,Aramex,Corporate Account,Supermarket,0,True,25.9121,45.3488,24.7136,46.6753,24.7418,46.65,24.7838,46.6312
ORD1065,05/01/2025,05/01/2025,09/01/2025,09/01/2025,Delivered,Hail,Baqa,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,16,41.12,1591.09,Naqel,Corporate Account,Hospital,0,True,26.3256,43.4885,27.5114,41.7208,27.5145,41.7222,24.6531,46.7141
ORD1066,23/04/2025,24/04/2025,28/04/2025,28/04/2025,Delivered,Asir,Abha,Almarai,Dairy,Lusine,Lusine Cheese 200g,10,29.58,644.43,Aramex,Cash on Delivery,Hospital,0,True,18.2164,42.5053,18.2164,42.5053,18.218,42.505,24.7838,46.6312
ORD1067,27/03/2025,28/03/2025,30/03/2025,01/04/2025,Cancelled,Al Bahah,Baljurashi,Nestlé,Confectionery,KitKat,KitKat 4-finger,13,41.11,823.3,Fetchr,Cash on Delivery,Hospital,2,False,19.8812,41.5581,20.0129,41.4677,20.015,41.4685,24.7961,46.6753
ORD1068,09/11/2023,11/11/2023,12/11/2023,12/11/2023,Delivered,Najran,Najran,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,19,64.33,1994.03,Naqel,Bank Transfer,Restaurant,0,True,17.565,44.2289,17.565,44.2289,26.471,50.1055,24.6531,46.7141
ORD1069,30/01/2025,31/01/2025,03/02/2025,03/02/2025,Delivered,Riyadh,Al Majmaah,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,1,1.66,169.36,Saudi Post,Credit Card,Supermarket,0,True,25.9121,45.3488,24.7136,46.6753,24.7136,46.7684,24.774265,46.738586
ORD1070,18/11/2023,19/11/2023,22/11/2023,22/11/2023,Delivered,Makkah,Al Lith,Unilever,Personal Care,Lux,Lux Body Wash,20,93.08,1801.09,Aramex,Bank Transfer,Supermarket,0,True,20.131,40.2665,21.3891,39.8579,21.3891,39.8579,24.7838,46.6312
ORD1071,18/04/2023,20/04/2023,23/04/2023,23/04/2023,Delivered,Qassim,Buraidah,Almarai,Dairy,Lusine,Lusine Cheese 200g,10,27.89,1243.63,DHL,Cash on Delivery,Hospital,0,True,26.3259,43.974,26.3259,43.974,26.3265,43.9735,24.7292,46.6443
ORD1072,19/04/2024,21/04/2024,23/04/2024,23/04/2024,Delivered,Qassim,Al Mithnab,Procter & Gamble,Personal Care,Gillette,Gillette Razor,3,13.27,199.48,DHL,Bank Transfer,Hospital,0,True,25.8603,44.2221,26.3259,43.974,26.3265,43.9735,24.7292,46.6443
ORD1073,10/03/2024,12/03/2024,15/03/2024,15/03/2024,Delivered,Makkah,Jeddah,PepsiCo,Snacks,Lays,Lays Classic 40g,3,9.17,280.74,DHL,Cash on Delivery,Hospital,0,True,21.4858,39.1925,21.3891,39.8579,21.3912,39.8601,24.7292,46.6443
ORD1074,30/11/2024,30/11/2024,04/12/2024,07/12/2024,Cancelled,Jazan,Samtah,Almarai,Juices,Almarai,Almarai Apple 1.5L,1,2.27,155.1,DHL,Cash on Delivery,Supermarket,3,False,16.5989,42.9443,16.8892,42.5703,16.8905,42.5715,24.7292,46.6443
ORD1075,12/01/2023,12/01/2023,16/01/2023,16/01/2023,Delivered,Qassim,Al Bukayriyah,Unilever,Personal Care,Lux,Lux Body Wash,2,8.44,156.95,DHL,Cash on Delivery,Hospital,0,True,26.1444,43.6578,26.3259,43.974,26.3265,43.9735,24.7292,46.6443
ORD1076,08/02/2025,08/02/2025,10/02/2025,10/02/2025,Delivered,Qassim,Buraidah,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,7,22.45,590.83,Aramex,Corporate Account,School,0,True,26.3259,43.974,26.3259,43.974,26.3256,43.974,24.7838,46.6312
ORD1077,12/02/2023,13/02/2023,15/02/2023,15/02/2023,Delivered,Madinah,Mahd Al Thahab,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,11,49.01,612.65,DHL,Cash on Delivery,Hospital,0,True,23.4936,40.8687,24.5247,39.5692,24.5252,39.5685,24.7292,46.6443
ORD1078,21/05/2023,23/05/2023,25/05/2023,25/05/2023,Delivered,Riyadh,Al Majmaah,PepsiCo,Beverages,7Up,7Up 1L Bottle,20,56.45,3423.31,DHL,Credit Card,Supermarket,0,True,25.9121,45.3488,24.7136,46.6753,24.7599,46.6739,24.7292,46.6443
ORD1079,01/11/2024,01/11/2024,02/11/2024,02/11/2024,Delivered,Najran,Hubuna,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,8,15.44,668.3,Aramex,Credit Card,Restaurant,0,True,17.3,44.1167,17.565,44.2289,26.4207,50.0888,24.7838,46.6312
ORD1080,26/01/2023,28/01/2023,29/01/2023,29/01/2023,Delivered,Northern Borders,Al Uwayqilah,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,8,17,489.94,Aramex,Credit Card,Supermarket,0,True,29.7481,41.2831,30.9753,41.0381,30,41,24.7838,46.6312
ORD1081,11/03/2025,12/03/2025,16/03/2025,16/03/2025,Delivered,Jazan,Jazan,PepsiCo,Snacks,Lays,Lays Classic 40g,12,30.97,1850.08,Saudi Post,Bank Transfer,School,0,True,16.8892,42.5703,16.8892,42.5703,17.3411,42.5911,24.774265,46.738586
ORD1082,29/11/2023,29/11/2023,03/12/2023,03/12/2023,Delivered,Qassim,Al Mithnab,Almarai,Dairy,Lusine,Lusine Cheese 200g,2,8.45,190.83,DHL,Corporate Account,Restaurant,0,True,25.8603,44.2221,26.3259,43.974,26.3265,43.9735,24.7292,46.6443
ORD1083,18/12/2024,18/12/2024,19/12/2024,19/12/2024,Delivered,Najran,Najran,Procter & Gamble,Personal Care,Gillette,Gillette Razor,14,33.1,2191.83,Aramex,Credit Card,Retail,0,True,17.565,44.2289,17.565,44.2289,26.4207,50.0888,24.7838,46.6312
ORD1084,04/02/2024,04/02/2024,07/02/2024,07/02/2024,Delivered,Riyadh,Riyadh,Unilever,Food,Lipton,Lipton Yellow Label 100g,10,44.52,1988.75,Naqel,Corporate Account,Retail,0,True,24.7136,46.6753,24.7136,46.6753,24.63,46.84,24.6531,46.7141
ORD1085,11/01/2025,13/01/2025,17/01/2025,20/01/2025,Partially Delivered,Asir,Sarat Abidah,Almarai,Dairy,Almarai,Almarai Milk 1L,5,22.79,901.81,Fetchr,Credit Card,Retail,3,False,18.0677,43.1499,18.2164,42.5053,18.2195,42.503,24.7961,46.6753
ORD1086,21/11/2023,22/11/2023,26/11/2023,26/11/2023,Delivered,Makkah,Al Qunfudhah,PepsiCo,Beverages,7Up,7Up 1L Bottle,5,16.21,730.26,Aramex,Bank Transfer,Retail,0,True,19.1254,41.078,21.3891,39.8579,21.3891,39.8579,24.7838,46.6312
ORD1087,14/11/2023,14/11/2023,16/11/2023,16/11/2023,Delivered,Najran,Hubuna,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,10,28.1,1209.43,Aramex,Cash on Delivery,Restaurant,0,True,17.3,44.1167,17.565,44.2289,26.4207,50.0888,24.7838,46.6312
ORD1088,19/08/2023,21/08/2023,23/08/2023,23/08/2023,Delivered,Al Bahah,Baljurashi,Almarai,Juices,Almarai,Almarai Mango 1.5L,3,6.91,571.33,Fetchr,Bank Transfer,Supermarket,0,True,19.8812,41.5581,20.0129,41.4677,20.015,41.4685,24.7961,46.6753
ORD1089,23/10/2024,24/10/2024,28/10/2024,29/10/2024,Cancelled,Jazan,Jazan,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,6,27.98,768.96,Naqel,Bank Transfer,Supermarket,1,False,16.8892,42.5703,16.8892,42.5703,16.8912,42.5685,24.6531,46.7141
ORD1090,01/08/2024,03/08/2024,04/08/2024,04/08/2024,Delivered,Najran,Najran,Almarai,Dairy,Lusine,Lusine Cheese 200g,16,54.15,831.07,Fetchr,Credit Card,School,0,True,17.565,44.2289,17.565,44.2289,26.392,50.086,24.7961,46.6753
