Audit_ID,Audit_Date,Region,City,Parent_Company,Category,Brand,Product,Shelf_Location,System_Stock,Physical_Stock,Expiry_Date,Quality_Status,Planogram_Compliance,Price_Accuracy,Promo_Execution,Variance_Pct
AUD587185,2022-03-08,Jazan,Baish,Unilever,Personal Care,Dove,Dove Soap 90g,A4-S2,145,126,2022-06-06,Damaged,Yes,Correct,Not Executed,-13.1
AUD170212,2020-12-23,Northern Borders,Al Nairyah,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,A2-S1,93,22,2021-05-25,OK,Yes,Correct,Perfect,-76.34
AUD455565,2021-03-21,Al Bahah,Qilwah,Almarai,Juices,Almarai,Almarai Apple 1.5L,A1-S5,164,101,2021-10-13,OK,Yes,Correct,Perfect,-38.41
AUD316353,2022-05-15,Northern Borders,Al Nairyah,Almarai,Juices,Almarai,Almarai Apple 1.5L,A1-S3,112,125,2023-02-13,OK,Yes,Correct,Not Executed,11.61
AUD265602,2025-02-15,Northern Borders,Rafha,Nestlé,Dairy,Nido,Nido 900g,A3-S4,49,87,2025-08-12,OK,Yes,Correct,Perfect,77.55
AUD146237,2021-04-21,Jazan,Jazan,PepsiCo,Beverages,7Up,7Up 1L Bottle,A2-S3,34,43,2021-06-15,OK,Yes,Correct,Perfect,26.47
AUD919510,2022-03-09,Makkah,Al Jumum,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,A1-S3,159,77,2022-08-06,OK,Yes,Correct,Perfect,-51.57
AUD440333,2021-11-27,Qassim,Unaizah,Unilever,Personal Care,Lux,Lux Body Wash,A3-S5,24,121,2022-07-15,OK,Yes,Correct,Perfect,404.17
AUD106314,2023-03-13,Eastern Province,Qatif,Almarai,Dairy,Lusine,Lusine Cheese 200g,A4-S2,113,152,2023-10-06,OK,Yes,Correct,Perfect,34.51
AUD960408,2023-11-23,Eastern Province,Khobar,Unilever,Personal Care,Lux,Lux Body Wash,A2-S1,120,196,2024-01-24,OK,Yes,Correct,Perfect,63.33
AUD182815,2023-11-04,Asir,Tanomah,PepsiCo,Snacks,Lays,Lays Classic 40g,A5-S1,55,21,2024-06-22,OK,Yes,Correct,Minor Issues,-61.82
AUD952543,2022-02-28,Eastern Province,Ras Tanura,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A6-S4,123,88,2022-04-22,OK,Yes,Correct,Perfect,-28.46
AUD733206,2024-03-09,Northern Borders,Al Nairyah,Procter & Gamble,Personal Care,Gillette,Gillette Razor,A2-S2,129,47,2024-06-30,OK,Yes,Correct,Perfect,-63.57
AUD923744,2022-03-13,Jazan,Baish,Procter & Gamble,Personal Care,Gillette,Gillette Razor,A2-S1,58,106,2022-06-04,OK,Yes,Incorrect,Minor Issues,82.76
AUD255094,2020-01-22,Riyadh,Riyadh,Almarai,Juices,Almarai,Almarai Apple 1.5L,A4-S4,106,73,2020-04-13,OK,Yes,Correct,Minor Issues,-31.13
AUD683166,2022-12-01,Madinah,Mahd Al Thahab,Unilever,Personal Care,Lux,Lux Body Wash,A1-S1,173,181,2023-02-18,OK,Yes,Correct,Perfect,4.62
AUD502739,2020-02-13,Najran,Badr Al Janub,Nestlé,Confectionery,KitKat,KitKat 4-finger,A2-S1,149,60,2020-05-06,OK,Yes,Correct,Not Executed,-59.73
AUD159038,2020-08-15,Makkah,Jeddah,Nestlé,Confectionery,Quality,Quality Street Tin,A4-S3,180,63,2021-03-23,OK,Yes,Correct,Perfect,-65.0
AUD395732,2024-10-23,Northern Borders,Rafha,PepsiCo,Beverages,7Up,7Up 1L Bottle,A3-S4,75,39,2025-10-02,OK,Yes,Correct,Perfect,-48.0
AUD182758,2024-12-01,Asir,Bisha,Unilever,Food,Knorr,Knorr Chicken Cubes,A5-S5,193,113,2025-06-05,OK,Partial,Incorrect,Minor Issues,-41.45
AUD394819,2022-09-20,Najran,Sharurah,Almarai,Dairy,Lusine,Lusine Cheese 200g,A6-S1,160,17,2023-01-17,OK,Partial,Correct,Perfect,-89.38
AUD940132,2023-09-12,Riyadh,Thadiq,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A2-S5,119,108,2023-10-26,OK,Yes,Correct,Perfect,-9.24
AUD743171,2022-10-03,Riyadh,Dhurma,Unilever,Personal Care,Dove,Dove Soap 90g,A5-S5,120,118,2022-12-12,OK,Yes,Correct,Not Executed,-1.67
AUD555678,2020-08-02,Madinah,Al Ula,Almarai,Dairy,Lusine,Lusine Cheese 200g,A1-S4,60,59,2020-12-27,OK,Yes,Correct,Perfect,-1.67
AUD605059,2022-08-28,Northern Borders,Turaif,Almarai,Dairy,Lusine,Lusine Cheese 200g,A4-S1,38,74,2023-03-18,OK,Partial,Correct,Perfect,94.74
AUD488762,2023-05-14,Madinah,Al Ula,Almarai,Juices,Almarai,Almarai Mango 1.5L,A3-S5,175,121,2024-01-30,OK,Yes,Incorrect,Perfect,-30.86
AUD839644,2023-01-16,Qassim,Al Asyah,Unilever,Food,Knorr,Knorr Chicken Cubes,A3-S4,182,36,2023-05-11,Damaged,Yes,Correct,Perfect,-80.22
AUD314888,2021-02-26,Al Bahah,Al Mandaq,Unilever,Food,Lipton,Lipton Yellow Label 100g,A2-S2,86,83,2021-10-05,OK,Yes,Correct,Perfect,-3.49
AUD399678,2023-07-16,Eastern Province,Khobar,Almarai,Dairy,Almarai,Almarai Milk 1L,A2-S2,142,148,2024-05-20,OK,Yes,Correct,Perfect,4.23
AUD106779,2020-08-07,Madinah,Khaybar,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A4-S5,22,101,2020-09-18,OK,Yes,Correct,Not Executed,359.09
AUD906985,2024-07-01,Riyadh,Diriyah,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A4-S4,30,115,2024-08-24,OK,Yes,Correct,Minor Issues,283.33
AUD247600,2025-03-17,Madinah,Yanbu,PepsiCo,Beverages,7Up,7Up 1L Bottle,A3-S1,65,155,2025-07-18,Near Expiry,Yes,Correct,Minor Issues,138.46
AUD221043,2022-03-25,Riyadh,Dhurma,Nestlé,Confectionery,Quality,Quality Street Tin,A3-S5,124,68,2023-03-25,Damaged,Yes,Correct,Perfect,-45.16
AUD352379,2023-01-11,Makkah,Al Khurmah,Almarai,Juices,Almarai,Almarai Mango 1.5L,A1-S4,182,68,2023-12-11,OK,Yes,Correct,Perfect,-62.64
AUD460888,2022-05-22,Madinah,Madinah,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A3-S1,95,38,2023-04-20,OK,No,Correct,Perfect,-60.0
AUD312290,2024-10-29,Eastern Province,Qatif,Almarai,Juices,Almarai,Almarai Apple 1.5L,A4-S4,104,77,2025-10-07,OK,Yes,Correct,Minor Issues,-25.96
AUD922558,2021-12-18,Qassim,Unaizah,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A3-S5,146,16,2022-07-09,OK,Yes,Correct,Perfect,-89.04
AUD143937,2021-02-13,Northern Borders,Rafha,Almarai,Dairy,Lusine,Lusine Cheese 200g,A5-S5,154,90,2021-10-09,OK,Yes,Correct,Perfect,-41.56
AUD139211,2025-02-08,Eastern Province,Dhahran,Almarai,Juices,Almarai,Almarai Apple 1.5L,A4-S1,111,106,2025-07-27,OK,Yes,Correct,Perfect,-4.5
AUD802892,2023-08-07,Hail,Baqa,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A5-S2,155,84,2023-12-15,OK,Yes,Correct,Minor Issues,-45.81
AUD446600,2024-08-30,Madinah,Khaybar,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A6-S1,68,153,2025-04-19,OK,Yes,Correct,Perfect,125.0
AUD444227,2024-04-29,Northern Borders,Arar,Almarai,Juices,Almarai,Almarai Mango 1.5L,A5-S2,165,45,2024-09-19,Damaged,Yes,Correct,Minor Issues,-72.73
AUD210091,2023-04-24,Najran,Badr Al Janub,Almarai,Juices,Almarai,Almarai Apple 1.5L,A1-S2,190,135,2024-01-05,OK,Yes,Incorrect,Perfect,-28.95
AUD285356,2020-07-26,Tabuk,Tabuk,Nestlé,Dairy,Nido,Nido 900g,A1-S1,129,83,2020-11-16,OK,Yes,Correct,Not Executed,-35.66
AUD934072,2023-06-22,Riyadh,Huraymila,PepsiCo,Snacks,Lays,Lays Classic 40g,A6-S5,21,47,2023-09-13,OK,Yes,Correct,Minor Issues,123.81
AUD861412,2022-01-04,Northern Borders,Al Nairyah,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,A2-S3,36,59,2022-10-25,OK,Partial,Correct,Perfect,63.89
AUD842469,2020-04-08,Eastern Province,Hafr Al Batin,Unilever,Personal Care,Dove,Dove Soap 90g,A1-S1,75,188,2020-12-31,OK,Yes,Correct,Perfect,150.67
AUD210934,2022-02-17,Madinah,Mahd Al Thahab,Almarai,Dairy,Almarai,Almarai Milk 1L,A1-S1,139,181,2022-08-01,OK,Yes,Correct,Perfect,30.22
AUD714213,2024-11-12,Tabuk,Duba,Almarai,Juices,Almarai,Almarai Apple 1.5L,A5-S4,86,116,2025-04-24,OK,No,Correct,Perfect,34.88
AUD594832,2023-06-09,Tabuk,Haql,Unilever,Personal Care,Dove,Dove Soap 90g,A4-S1,140,47,2023-10-28,OK,Yes,Correct,Perfect,-66.43
AUD965120,2023-11-01,Hail,Al Makhrouq,Unilever,Personal Care,Lux,Lux Body Wash,A3-S2,54,39,2024-02-23,OK,Yes,Correct,Minor Issues,-27.78
AUD146414,2025-03-25,Madinah,Al Ula,Unilever,Personal Care,Dove,Dove Soap 90g,A4-S4,105,89,2025-06-05,OK,Yes,Correct,Minor Issues,-15.24
AUD635890,2022-04-25,Madinah,Al Henakiyah,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A3-S1,41,54,2022-08-17,OK,Yes,Correct,Minor Issues,31.71
AUD406134,2024-02-12,Madinah,Al Ula,Nestlé,Dairy,Nido,Nido 900g,A1-S4,197,49,2024-08-05,OK,Yes,Correct,Not Executed,-75.13
AUD276537,2020-10-01,Northern Borders,Al Khafji,Nestlé,Beverages,Milo,Milo 400g,A6-S3,83,163,2021-06-15,OK,Yes,Correct,Minor Issues,96.39
AUD413717,2023-04-04,Makkah,Makkah,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,A3-S3,196,30,2023-09-03,OK,Yes,Correct,Perfect,-84.69
AUD582950,2023-08-29,Al Bahah,Al Qara,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,A1-S4,169,105,2024-03-24,OK,Yes,Correct,Perfect,-37.87
AUD855324,2025-04-20,Al Bahah,Al Aqiq,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A1-S3,192,30,2025-07-07,Expired,Partial,Incorrect,Minor Issues,-84.38
AUD309431,2021-12-16,Asir,Khamis Mushait,Unilever,Personal Care,Lux,Lux Body Wash,A3-S3,94,52,2022-04-16,OK,Yes,Correct,Minor Issues,-44.68
AUD652639,2023-09-06,Madinah,Madinah,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A3-S5,141,181,2024-05-28,OK,Yes,Correct,Perfect,28.37
AUD244524,2020-07-06,Hail,Al Ghazalah,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A1-S1,76,88,2020-08-27,Expired,Yes,Correct,Perfect,15.79
AUD693027,2024-08-15,Al Bahah,Al Makhwah,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A2-S3,119,89,2025-08-03,OK,Yes,Correct,Perfect,-25.21
AUD124519,2021-11-18,Al Bahah,Al Aqiq,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A5-S4,87,75,2022-06-27,OK,No,Correct,Perfect,-13.79
AUD486174,2020-08-05,Riyadh,Thadiq,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A3-S5,162,24,2021-02-01,OK,Yes,Incorrect,Perfect,-85.19
AUD447624,2020-09-09,Qassim,Al Asyah,Unilever,Food,Lipton,Lipton Yellow Label 100g,A6-S3,162,102,2020-10-20,OK,Yes,Correct,Perfect,-37.04
AUD652278,2020-05-27,Hail,Hail,Nestlé,Confectionery,KitKat,KitKat 4-finger,A1-S5,178,98,2020-11-19,OK,Yes,Correct,Perfect,-44.94
AUD939419,2023-04-07,Qassim,Unaizah,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,A1-S3,185,149,2023-11-11,OK,Yes,Correct,Perfect,-19.46
AUD700015,2020-09-06,Riyadh,Al Majmaah,Nestlé,Dairy,Nido,Nido 900g,A4-S5,36,185,2021-03-27,OK,Partial,Correct,Minor Issues,413.89
AUD430625,2023-03-16,Makkah,Makkah,Unilever,Food,Lipton,Lipton Yellow Label 100g,A2-S5,37,161,2024-02-17,OK,Yes,Correct,Perfect,335.14
AUD769500,2020-05-28,Najran,Thar,Unilever,Personal Care,Dove,Dove Soap 90g,A6-S4,64,161,2021-05-27,OK,Partial,Correct,Perfect,151.56
AUD622698,2021-02-22,Jazan,Abu Arish,Nestlé,Beverages,Milo,Milo 400g,A5-S4,76,199,2021-11-22,OK,Partial,Correct,Perfect,161.84
AUD207321,2023-09-06,Qassim,Buraidah,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,A4-S3,164,81,2024-01-03,Near Expiry,Yes,Correct,Perfect,-50.61
AUD988835,2021-11-18,Hail,Al Makhrouq,Procter & Gamble,Personal Care,Gillette,Gillette Razor,A2-S2,196,70,2022-05-24,OK,Yes,Correct,Perfect,-64.29
AUD648606,2021-05-04,Tabuk,Haql,Nestlé,Confectionery,KitKat,KitKat 4-finger,A1-S1,23,99,2022-04-10,OK,Yes,Correct,Perfect,330.43
AUD945409,2023-08-21,Hail,Al Makhrouq,Nestlé,Confectionery,Quality,Quality Street Tin,A3-S1,36,47,2024-04-23,OK,Yes,Correct,Perfect,30.56
AUD241310,2022-07-14,Makkah,Al Qunfudhah,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A6-S4,70,149,2023-06-22,OK,Yes,Correct,Perfect,112.86
AUD267666,2022-12-24,Asir,Bisha,Unilever,Food,Lipton,Lipton Yellow Label 100g,A5-S3,101,116,2023-05-17,OK,Yes,Correct,Perfect,14.85
AUD355310,2025-02-03,Asir,Balqarn,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A2-S2,85,49,2025-09-23,OK,Yes,Correct,Perfect,-42.35
AUD314125,2024-04-23,Hail,Al Sulaimi,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,A5-S2,144,38,2024-06-21,OK,Yes,Correct,Perfect,-73.61
AUD348995,2024-06-27,Madinah,Mahd Al Thahab,Nestlé,Confectionery,KitKat,KitKat 4-finger,A1-S4,153,24,2024-12-30,OK,Yes,Correct,Minor Issues,-84.31
AUD929847,2025-04-15,Tabuk,Al Wajh,Unilever,Personal Care,Lux,Lux Body Wash,A1-S1,70,158,2025-10-24,OK,Yes,Correct,Perfect,125.71
AUD596712,2021-12-14,Tabuk,Duba,Nestlé,Beverages,Milo,Milo 400g,A6-S2,45,181,2022-07-20,OK,Partial,Incorrect,Perfect,302.22
AUD852346,2025-04-15,Makkah,Al Jumum,Unilever,Food,Lipton,Lipton Yellow Label 100g,A2-S3,40,79,2025-10-30,OK,Yes,Correct,Perfect,97.5
AUD354152,2025-02-21,Northern Borders,Rafha,Unilever,Personal Care,Lux,Lux Body Wash,A6-S2,42,125,2025-08-16,Near Expiry,Yes,Correct,Perfect,197.62
AUD573411,2024-01-18,Makkah,Makkah,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A6-S5,78,190,2024-12-10,OK,Yes,Correct,Perfect,143.59
AUD348674,2020-07-08,Northern Borders,Al Wasita,Unilever,Food,Knorr,Knorr Chicken Cubes,A3-S5,20,122,2021-05-29,Damaged,Yes,Correct,Minor Issues,510.0
AUD778002,2022-05-06,Hail,Al Ghazalah,Almarai,Dairy,Lusine,Lusine Cheese 200g,A2-S4,145,186,2022-08-14,OK,Yes,Incorrect,Perfect,28.28
AUD523842,2024-10-24,Al Bahah,Al Aqiq,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A2-S4,144,101,2025-07-14,OK,Yes,Incorrect,Perfect,-29.86
AUD690028,2024-09-06,Riyadh,Huraymila,Almarai,Juices,Almarai,Almarai Apple 1.5L,A6-S5,100,99,2025-03-18,Near Expiry,Yes,Correct,Perfect,-1.0
AUD700543,2020-12-11,Qassim,Ar Rass,Unilever,Personal Care,Dove,Dove Soap 90g,A5-S4,114,35,2021-09-30,OK,Yes,Incorrect,Perfect,-69.3
AUD404287,2020-11-20,Madinah,Yanbu,Nestlé,Beverages,Milo,Milo 400g,A1-S2,112,104,2021-03-01,OK,Yes,Correct,Perfect,-7.14
AUD676927,2022-01-26,Hail,Al Ghazalah,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A6-S2,143,51,2022-03-30,Damaged,No,Correct,Perfect,-64.34
AUD168208,2020-04-28,Al Bahah,Al Qara,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A2-S4,34,186,2020-10-13,OK,Yes,Correct,Minor Issues,447.06
AUD101793,2023-04-02,Jazan,Jazan,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A4-S4,53,196,2024-01-21,OK,Yes,Correct,Perfect,269.81
AUD752372,2022-10-13,Madinah,Madinah,Unilever,Food,Lipton,Lipton Yellow Label 100g,A6-S5,123,129,2023-03-30,OK,Partial,Correct,Minor Issues,4.88
AUD226914,2024-06-22,Makkah,Taif,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A4-S4,52,88,2024-10-24,Near Expiry,Yes,Correct,Perfect,69.23
AUD644133,2020-01-17,Northern Borders,Arar,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A2-S1,67,158,2020-12-07,OK,Partial,Correct,Perfect,135.82
AUD193314,2024-07-05,Tabuk,Al Wajh,Almarai,Juices,Almarai,Almarai Apple 1.5L,A3-S3,87,140,2025-04-26,OK,Yes,Correct,Perfect,60.92
AUD654127,2023-03-04,Najran,Sharurah,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A3-S1,56,207,2023-08-21,OK,Yes,Correct,Perfect,269.64
AUD304891,2023-07-26,Qassim,Al Mithnab,PepsiCo,Beverages,7Up,7Up 1L Bottle,A4-S3,157,27,2024-04-09,OK,Yes,Correct,Perfect,-82.8
AUD601237,2020-07-10,Asir,Abha,Unilever,Personal Care,Lux,Lux Body Wash,A1-S4,45,63,2021-07-07,OK,Partial,Correct,Perfect,40.0
AUD720935,2024-07-09,Tabuk,Al Wajh,Almarai,Dairy,Lusine,Lusine Cheese 200g,A1-S5,24,190,2025-01-22,OK,Yes,Correct,Perfect,691.67
AUD948216,2022-05-16,Qassim,Buraidah,Procter & Gamble,Personal Care,Gillette,Gillette Razor,A1-S2,167,104,2023-02-09,OK,Yes,Correct,Perfect,-37.72
AUD217561,2020-05-19,Riyadh,Huraymila,Almarai,Dairy,Almarai,Almarai Milk 1L,A6-S1,60,129,2021-03-07,OK,Yes,Correct,Minor Issues,115.0
AUD511595,2021-07-15,Tabuk,Al Bidaa,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,A1-S1,22,109,2022-01-06,OK,Yes,Correct,Not Executed,395.45
AUD826886,2021-10-10,Najran,Najran,PepsiCo,Snacks,Lays,Lays Classic 40g,A1-S4,149,19,2022-03-24,OK,Yes,Correct,Perfect,-87.25
AUD827342,2021-02-24,Madinah,Al Ula,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A3-S4,153,202,2021-04-02,OK,Yes,Correct,Perfect,32.03
AUD913100,2020-10-01,Makkah,Al Lith,Nestlé,Dairy,Nido,Nido 900g,A1-S2,102,186,2021-09-13,OK,Yes,Correct,Perfect,82.35
AUD925765,2022-05-29,Najran,Badr Al Janub,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,A4-S5,51,117,2022-12-29,OK,Yes,Correct,Perfect,129.41
AUD520053,2024-03-11,Tabuk,Al Bidaa,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,A6-S5,78,208,2024-05-12,OK,Yes,Incorrect,Minor Issues,166.67
AUD729614,2024-06-18,Northern Borders,Al Khafji,Almarai,Juices,Almarai,Almarai Apple 1.5L,A2-S4,134,167,2024-11-14,OK,Yes,Correct,Minor Issues,24.63
AUD392428,2023-12-23,Eastern Province,Dammam,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,A5-S4,151,182,2024-06-04,OK,Yes,Correct,Perfect,20.53
AUD285640,2023-12-13,Al Bahah,Al Makhwah,Almarai,Juices,Almarai,Almarai Mango 1.5L,A4-S4,127,200,2024-09-02,Damaged,Yes,Correct,Perfect,57.48
AUD921648,2024-10-14,Madinah,Al Ula,Unilever,Personal Care,Lux,Lux Body Wash,A6-S4,84,82,2025-03-28,Damaged,Yes,Correct,Perfect,-2.38
AUD685314,2022-11-11,Eastern Province,Dammam,Almarai,Dairy,Almarai,Almarai Milk 1L,A6-S2,95,125,2023-03-01,OK,Yes,Correct,Minor Issues,31.58
AUD297579,2023-05-09,Al Bahah,Al Aqiq,Unilever,Food,Knorr,Knorr Chicken Cubes,A5-S1,24,75,2023-06-26,OK,Yes,Correct,Perfect,212.5
AUD770937,2024-03-28,Madinah,Badr,Nestlé,Confectionery,KitKat,KitKat 4-finger,A4-S1,125,96,2025-03-13,OK,Yes,Correct,Perfect,-23.2
AUD424860,2022-02-28,Tabuk,Tayma,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,A4-S5,69,204,2022-09-03,OK,Yes,Correct,Perfect,195.65
AUD892924,2020-11-19,Riyadh,Riyadh,Almarai,Juices,Almarai,Almarai Apple 1.5L,A4-S2,180,31,2021-09-11,OK,Yes,Correct,Perfect,-82.78
AUD966390,2024-02-14,Riyadh,Huraymila,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,A3-S5,55,62,2024-12-27,OK,Yes,Correct,Minor Issues,12.73
AUD166727,2023-12-14,Makkah,Al Jumum,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,A1-S5,168,69,2024-11-26,OK,Yes,Correct,Perfect,-58.93
AUD833442,2020-09-09,Al Bahah,Qilwah,Nestlé,Beverages,Milo,Milo 400g,A3-S1,153,78,2021-04-22,OK,Yes,Correct,Perfect,-49.02
AUD842566,2024-04-16,Al Bahah,Al Makhwah,Nestlé,Confectionery,KitKat,KitKat 4-finger,A4-S1,191,112,2024-08-29,OK,Yes,Correct,Minor Issues,-41.36
AUD647471,2021-03-06,Asir,Muhayil,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,A4-S2,47,151,2021-08-03,OK,Yes,Correct,Perfect,221.28
AUD280123,2020-04-10,Makkah,Jeddah,Nestlé,Beverages,Milo,Milo 400g,A3-S2,65,151,2021-01-12,OK,Yes,Correct,Perfect,132.31
AUD169953,2022-10-07,Riyadh,Riyadh,Almarai,Dairy,Almarai,Almarai Milk 1L,A4-S4,58,89,2022-11-27,OK,Yes,Correct,Minor Issues,53.45
AUD336547,2020-06-07,Northern Borders,Al Khafji,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,A4-S3,104,56,2021-03-17,OK,Partial,Correct,Perfect,-46.15
AUD918293,2023-08-16,Northern Borders,Al Khafji,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,A4-S5,36,110,2023-11-11,OK,Yes,Correct,Perfect,205.56
AUD153633,2023-03-18,Jazan,Samtah,Unilever,Food,Knorr,Knorr Chicken Cubes,A4-S1,89,67,2023-12-16,OK,Yes,Correct,Minor Issues,-24.72
AUD728315,2020-03-29,Hail,Al Hazm,Almarai,Juices,Almarai,Almarai Apple 1.5L,A3-S5,112,45,2020-11-22,OK,Yes,Correct,Perfect,-59.82
