Promotion_ID,Start_Date,End_Date,Parent_Company,Category,Brand,Product,Promotion_Type,Discount_Pct,Channels,Target_Regions
PROMO99106,2020-01-30,2020-02-13,PepsiCo,Snacks,Lays,Lays Classic 40g,BOGO,32,"Social Media, Newspaper",Madinah
PROMO86821,2020-02-01,2020-02-18,Unilever,Personal Care,Dove,Dove Soap 90g,BOGO,26,Radio,"Northern Borders, Tabuk, Hail"
PROMO20738,2020-02-03,2020-02-12,Almarai,Dairy,Almarai,Almarai Milk 1L,BOGO,13,"TV, In-Store","Eastern Province, Hail"
PROMO19119,2020-02-04,2020-02-11,PepsiCo,Beverages,7Up,7Up 1L Bottle,BOGO,0,Radio,"Al Bahah, Riyadh, Tabuk"
PROMO48521,2020-02-05,2020-02-29,Unilever,Food,Knorr,Knorr Chicken Cubes,BOGO,23,SMS,"Madinah, Jazan"
PROMO41810,2020-02-05,2020-02-14,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,Discount,30,"Influencers, In-Store, Radio","Al Bahah, Makkah, Hail"
PROMO40737,2020-02-07,2020-02-19,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,BOGO,0,Social Media,Madinah
PROMO77136,2020-02-07,2020-02-23,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,Bundle,20,"Newspaper, Radio",Asir
PROMO97735,2020-02-07,2020-02-22,Nestlé,Dairy,Nido,Nido 900g,Free Gift,26,"TV, SMS","Hail, Northern Borders"
PROMO88900,2020-02-07,2020-02-15,Unilever,Personal Care,Lux,Lux Body Wash,Discount,0,"Influencers, SMS","Makkah, Qassim, Hail"
PROMO74419,2020-02-08,2020-02-21,Nestlé,Beverages,Milo,Milo 400g,BOGO,9,"In-Store, TV",Najran
PROMO64717,2020-02-09,2020-02-19,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,Bundle,5,"TV, Radio, Social Media","Asir, Qassim, Hail"
PROMO84112,2020-02-09,2020-03-02,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,Free Gift,16,TV,Najran
PROMO57003,2020-02-11,2020-02-27,Almarai,Dairy,Lusine,Lusine Cheese 200g,Bundle,0,TV,"Asir, Jazan"
PROMO95700,2020-02-12,2020-03-11,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Discount,22,"Radio, Social Media, Newspaper",Riyadh
PROMO97024,2020-02-12,2020-02-26,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,BOGO,17,Influencers,Tabuk
PROMO50719,2020-02-12,2020-03-07,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Free Gift,0,SMS,"Tabuk, Northern Borders"
PROMO46791,2020-02-14,2020-03-03,Almarai,Juices,Almarai,Almarai Apple 1.5L,BOGO,0,Social Media,"Tabuk, Najran, Riyadh"
PROMO17903,2020-02-14,2020-03-04,Almarai,Dairy,Almarai,Almarai Milk 1L,Free Gift,15,Social Media,"Madinah, Northern Borders"
PROMO38755,2020-02-14,2020-02-25,Nestlé,Confectionery,KitKat,KitKat 4-finger,BOGO,16,"Influencers, SMS","Najran, Eastern Province"
PROMO14613,2020-02-15,2020-02-23,Unilever,Food,Lipton,Lipton Yellow Label 100g,Discount,0,"TV, In-Store","Asir, Najran, Madinah"
PROMO48458,2020-02-16,2020-03-11,Almarai,Juices,Almarai,Almarai Apple 1.5L,Discount,0,"Newspaper, SMS",Jazan
PROMO27567,2020-02-19,2020-03-05,Almarai,Juices,Almarai,Almarai Mango 1.5L,Discount,14,"TV, Influencers","Tabuk, Asir, Qassim"
PROMO43940,2020-02-20,2020-03-16,PepsiCo,Snacks,Lays,Lays Classic 40g,Free Gift,0,"Newspaper, SMS","Tabuk, Qassim, Northern Borders"
PROMO61608,2020-02-20,2020-03-17,Almarai,Juices,Almarai,Almarai Mango 1.5L,Free Gift,38,"Social Media, Influencers, SMS",Asir
PROMO77291,2020-02-21,2020-03-17,PepsiCo,Snacks,Lays,Lays Classic 40g,Discount,0,"TV, SMS","Madinah, Al Bahah, Hail"
PROMO67382,2020-02-21,2020-03-04,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,BOGO,12,"Radio, In-Store, SMS","Eastern Province, Tabuk, Northern Borders"
PROMO10171,2020-02-25,2020-03-14,Nestlé,Dairy,Nido,Nido 900g,Discount,9,"TV, In-Store, Influencers",Hail
PROMO27355,2020-02-25,2020-03-07,Unilever,Personal Care,Dove,Dove Soap 90g,Discount,0,"Influencers, Radio, In-Store",Jazan
PROMO15738,2020-02-25,2020-03-04,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,Bundle,0,"Influencers, Social Media",Al Bahah
PROMO29662,2020-02-25,2020-03-14,Almarai,Dairy,Lusine,Lusine Cheese 200g,Bundle,0,In-Store,Hail
PROMO24369,2020-02-25,2020-03-24,Almarai,Dairy,Lusine,Lusine Cheese 200g,BOGO,35,"TV, Radio, Newspaper","Asir, Madinah, Qassim"
PROMO22351,2020-02-26,2020-03-13,Almarai,Dairy,Almarai,Almarai Milk 1L,Discount,27,TV,"Riyadh, Al Bahah"
PROMO89630,2020-02-26,2020-03-13,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,Free Gift,16,In-Store,Makkah
PROMO16134,2020-02-26,2020-03-05,Unilever,Food,Knorr,Knorr Chicken Cubes,Free Gift,40,"Influencers, Radio","Madinah, Najran, Jazan"
PROMO85684,2020-02-26,2020-03-08,PepsiCo,Beverages,7Up,7Up 1L Bottle,Bundle,15,"SMS, Social Media, Radio","Al Bahah, Riyadh, Najran"
PROMO88725,2020-02-29,2020-03-16,Almarai,Dairy,Lusine,Lusine Cheese 200g,Free Gift,27,"Influencers, SMS, Newspaper",Al Bahah
PROMO98544,2020-02-29,2020-03-28,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,Bundle,0,"TV, SMS, In-Store",Northern Borders
PROMO26361,2020-03-02,2020-03-25,PepsiCo,Snacks,Lays,Lays Classic 40g,Free Gift,7,"Newspaper, Radio, Social Media","Eastern Province, Asir"
PROMO72622,2020-03-05,2020-03-13,Almarai,Juices,Almarai,Almarai Mango 1.5L,Bundle,27,In-Store,"Najran, Hail"
PROMO73746,2020-03-05,2020-03-20,Unilever,Personal Care,Dove,Dove Soap 90g,Bundle,7,"In-Store, Radio, Influencers","Asir, Hail, Qassim"
PROMO44435,2020-03-06,2020-04-02,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,BOGO,0,"Influencers, SMS, TV","Jazan, Najran"
PROMO41536,2020-03-06,2020-04-03,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,Free Gift,29,"TV, Social Media","Northern Borders, Hail, Tabuk"
PROMO12580,2020-03-07,2020-03-14,Almarai,Dairy,Lusine,Lusine Cheese 200g,Bundle,0,SMS,"Northern Borders, Asir, Najran"
PROMO47020,2020-03-07,2020-03-18,PepsiCo,Beverages,7Up,7Up 1L Bottle,Discount,7,SMS,"Qassim, Tabuk, Jazan"
PROMO26056,2020-03-08,2020-03-26,Almarai,Juices,Almarai,Almarai Apple 1.5L,Free Gift,16,"TV, In-Store, Social Media",Qassim
PROMO11489,2020-03-11,2020-04-05,Unilever,Food,Lipton,Lipton Yellow Label 100g,BOGO,12,In-Store,"Makkah, Eastern Province"
PROMO12652,2020-03-11,2020-04-06,Almarai,Dairy,Lusine,Lusine Cheese 200g,Free Gift,0,Radio,"Eastern Province, Jazan"
PROMO38052,2020-03-13,2020-03-24,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,Free Gift,13,"Influencers, Newspaper","Riyadh, Hail, Qassim"
PROMO61442,2020-03-15,2020-04-07,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,Discount,17,"Radio, In-Store, TV",Eastern Province
PROMO20596,2020-03-15,2020-03-30,Unilever,Food,Lipton,Lipton Yellow Label 100g,Discount,0,"SMS, Radio, Newspaper",Northern Borders
PROMO21424,2020-03-16,2020-04-12,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,Free Gift,5,"Social Media, TV","Eastern Province, Qassim"
PROMO20459,2020-03-16,2020-04-06,Nestlé,Dairy,Nido,Nido 900g,BOGO,16,Radio,"Najran, Tabuk"
PROMO91156,2020-03-17,2020-04-12,Almarai,Dairy,Lusine,Lusine Cheese 200g,Bundle,32,"In-Store, Social Media, Newspaper","Northern Borders, Najran"
PROMO60395,2020-03-18,2020-03-29,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,Bundle,22,SMS,"Najran, Eastern Province, Qassim"
PROMO72247,2020-03-18,2020-03-29,Almarai,Juices,Almarai,Almarai Mango 1.5L,BOGO,0,"TV, Social Media, Newspaper",Eastern Province
PROMO75989,2020-03-20,2020-04-16,Nestlé,Confectionery,Quality,Quality Street Tin,Discount,0,"SMS, In-Store, Newspaper",Hail
PROMO55051,2020-03-23,2020-04-09,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,Free Gift,25,TV,Qassim
PROMO47532,2020-03-23,2020-04-10,Almarai,Dairy,Lusine,Lusine Cheese 200g,BOGO,23,"TV, Social Media, SMS","Makkah, Riyadh"
PROMO62624,2020-03-24,2020-04-12,Nestlé,Dairy,Nido,Nido 900g,Free Gift,0,"In-Store, Radio, Influencers",Riyadh
PROMO40698,2020-03-25,2020-04-22,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,Discount,40,"In-Store, TV, Newspaper","Eastern Province, Madinah"
PROMO67174,2020-03-26,2020-04-03,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,Bundle,24,"Social Media, Radio","Jazan, Madinah"
PROMO35669,2020-03-27,2020-04-15,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,BOGO,22,"TV, Newspaper","Jazan, Northern Borders"
PROMO90401,2020-03-28,2020-04-11,Procter & Gamble,Personal Care,Gillette,Gillette Razor,Bundle,27,In-Store,"Eastern Province, Najran, Asir"
PROMO34945,2020-03-29,2020-04-21,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Discount,36,"Influencers, In-Store",Riyadh
PROMO92759,2020-03-29,2020-04-24,Procter & Gamble,Personal Care,Gillette,Gillette Razor,Free Gift,14,"Social Media, Influencers, Newspaper","Madinah, Eastern Province, Asir"
PROMO40888,2020-03-30,2020-04-22,Procter & Gamble,Personal Care,Gillette,Gillette Razor,Free Gift,0,TV,Hail
PROMO14712,2020-03-30,2020-04-07,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,BOGO,19,"Radio, SMS","Qassim, Eastern Province, Riyadh"
PROMO20488,2020-03-31,2020-04-23,Unilever,Food,Knorr,Knorr Chicken Cubes,BOGO,9,Radio,"Riyadh, Najran"
PROMO45633,2020-04-01,2020-04-09,Almarai,Juices,Almarai,Almarai Apple 1.5L,Discount,18,"SMS, Newspaper, Social Media",Makkah
PROMO25806,2020-04-01,2020-04-28,Unilever,Personal Care,Dove,Dove Soap 90g,Free Gift,0,SMS,"Najran, Eastern Province, Qassim"
PROMO59391,2020-04-02,2020-04-25,Nestlé,Confectionery,KitKat,KitKat 4-finger,Free Gift,28,"Newspaper, Influencers, TV","Riyadh, Tabuk, Jazan"
PROMO54762,2020-04-02,2020-04-29,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,BOGO,15,"Radio, TV, Newspaper","Makkah, Jazan, Madinah"
PROMO99336,2020-04-03,2020-04-20,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,Free Gift,0,"Radio, SMS, In-Store",Eastern Province
PROMO15020,2020-04-03,2020-04-18,Unilever,Personal Care,Lux,Lux Body Wash,Discount,0,Influencers,"Tabuk, Makkah"
PROMO11950,2020-04-03,2020-04-13,Procter & Gamble,Personal Care,Gillette,Gillette Razor,Discount,25,Influencers,"Eastern Province, Asir, Tabuk"
PROMO39307,2020-04-03,2020-05-01,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,BOGO,0,"Influencers, Radio, Social Media",Al Bahah
PROMO38298,2020-04-03,2020-04-25,Unilever,Food,Knorr,Knorr Chicken Cubes,Free Gift,18,In-Store,"Asir, Najran, Jazan"
PROMO92330,2020-04-04,2020-04-17,PepsiCo,Snacks,Lays,Lays Classic 40g,Bundle,20,"SMS, Newspaper",Eastern Province
PROMO70106,2020-04-04,2020-04-25,Unilever,Personal Care,Dove,Dove Soap 90g,Free Gift,0,"Newspaper, In-Store","Asir, Northern Borders, Najran"
PROMO87896,2020-04-04,2020-04-27,Almarai,Juices,Almarai,Almarai Mango 1.5L,Free Gift,24,"In-Store, Social Media","Madinah, Northern Borders, Makkah"
PROMO16001,2020-04-05,2020-04-20,Nestlé,Dairy,Nido,Nido 900g,Free Gift,8,Newspaper,Hail
PROMO77782,2020-04-07,2020-04-19,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,Bundle,0,Influencers,Asir
PROMO33838,2020-04-07,2020-04-27,PepsiCo,Snacks,Lays,Lays Classic 40g,Discount,5,"Newspaper, TV","Jazan, Qassim, Tabuk"
PROMO57457,2020-04-08,2020-04-15,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,Bundle,6,"TV, Social Media, Newspaper","Najran, Northern Borders"
PROMO98482,2020-04-08,2020-05-02,PepsiCo,Beverages,7Up,7Up 1L Bottle,Discount,0,Newspaper,Madinah
PROMO19959,2020-04-08,2020-04-17,Unilever,Food,Lipton,Lipton Yellow Label 100g,Discount,22,"SMS, In-Store, Influencers","Hail, Eastern Province"
PROMO28014,2020-04-09,2020-04-23,Nestlé,Beverages,Milo,Milo 400g,Discount,0,"Social Media, In-Store, Newspaper","Tabuk, Makkah, Asir"
PROMO38480,2020-04-09,2020-04-30,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,Discount,0,"Newspaper, TV, SMS","Northern Borders, Madinah, Makkah"
PROMO40984,2020-04-09,2020-04-22,Nestlé,Confectionery,Quality,Quality Street Tin,Discount,0,"TV, In-Store, Radio","Northern Borders, Eastern Province, Hail"
PROMO50118,2020-04-09,2020-04-25,Nestlé,Beverages,Nescafé,Nescafé Classic 200g,BOGO,29,"Influencers, In-Store",Qassim
PROMO99095,2020-04-09,2020-04-23,PepsiCo,Snacks,Lays,Lays Classic 40g,Bundle,24,"In-Store, Influencers","Hail, Al Bahah"
PROMO75126,2020-04-10,2020-04-17,Unilever,Personal Care,Lux,Lux Body Wash,BOGO,0,"SMS, Radio, TV",Asir
PROMO81224,2020-04-11,2020-05-04,Unilever,Personal Care,Lux,Lux Body Wash,Free Gift,19,Radio,Tabuk
PROMO83476,2020-04-12,2020-05-10,Unilever,Food,Knorr,Knorr Chicken Cubes,BOGO,0,"Radio, Influencers, Newspaper","Qassim, Tabuk, Najran"
PROMO85194,2020-04-12,2020-05-10,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,Bundle,14,TV,Najran
PROMO93527,2020-04-12,2020-04-24,Nestlé,Dairy,Nido,Nido 900g,Free Gift,26,"Influencers, Radio",Northern Borders
PROMO61464,2020-04-12,2020-05-10,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,Bundle,0,"In-Store, SMS","Madinah, Northern Borders"
PROMO47210,2020-04-12,2020-04-27,Almarai,Juices,Almarai,Almarai Apple 1.5L,Free Gift,0,"Influencers, In-Store",Al Bahah
PROMO26142,2020-04-12,2020-05-01,Almarai,Juices,Almarai,Almarai Apple 1.5L,Bundle,39,Social Media,"Hail, Al Bahah"
PROMO97921,2020-04-13,2020-05-01,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Discount,0,"TV, SMS, Influencers","Najran, Madinah, Asir"
PROMO68942,2020-04-13,2020-04-30,Unilever,Personal Care,Dove,Dove Soap 90g,Discount,32,"Influencers, TV","Jazan, Madinah, Riyadh"
PROMO61012,2020-04-14,2020-04-22,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,BOGO,0,Newspaper,Hail
PROMO67414,2020-04-15,2020-05-05,PepsiCo,Beverages,7Up,7Up 1L Bottle,BOGO,21,Radio,Najran
PROMO57051,2020-04-15,2020-05-04,Unilever,Food,Knorr,Knorr Chicken Cubes,Free Gift,8,"Newspaper, In-Store, SMS","Hail, Al Bahah"
PROMO38852,2020-04-15,2020-04-26,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,BOGO,6,TV,"Najran, Qassim"
PROMO20423,2020-04-15,2020-04-30,Almarai,Dairy,Lusine,Lusine Cheese 200g,Free Gift,23,Radio,Eastern Province
PROMO44649,2020-04-15,2020-05-09,Nestlé,Confectionery,Quality,Quality Street Tin,BOGO,0,"Influencers, Social Media","Al Bahah, Riyadh, Northern Borders"
PROMO90876,2020-04-17,2020-05-02,Nestlé,Confectionery,Quality,Quality Street Tin,BOGO,16,"SMS, Newspaper",Najran
PROMO26075,2020-04-17,2020-05-07,Unilever,Food,Knorr,Knorr Chicken Cubes,Bundle,36,"SMS, Influencers","Jazan, Eastern Province"
PROMO11977,2020-04-17,2020-05-05,Nestlé,Confectionery,KitKat,KitKat 4-finger,BOGO,0,"Social Media, SMS",Najran
PROMO91553,2020-04-17,2020-05-14,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,BOGO,25,TV,"Al Bahah, Asir"
PROMO79966,2020-04-17,2020-05-12,Nestlé,Confectionery,KitKat,KitKat 4-finger,Bundle,0,"TV, In-Store, Social Media",Madinah
PROMO13713,2020-04-17,2020-05-01,Almarai,Juices,Almarai,Almarai Mango 1.5L,BOGO,39,Newspaper,"Qassim, Eastern Province"
PROMO73032,2020-04-18,2020-05-05,PepsiCo,Beverages,7Up,7Up 1L Bottle,BOGO,0,Newspaper,Asir
PROMO13377,2020-04-18,2020-04-25,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Bundle,0,"SMS, Social Media, Newspaper","Najran, Qassim"
PROMO69646,2020-04-19,2020-05-12,Procter & Gamble,Home Care,Ariel,Ariel Detergent 3kg,Bundle,0,"Influencers, Social Media",Tabuk
PROMO57262,2020-04-19,2020-04-29,Unilever,Food,Lipton,Lipton Yellow Label 100g,BOGO,0,"Influencers, Social Media","Asir, Madinah, Al Bahah"
PROMO80278,2020-04-19,2020-05-01,Almarai,Juices,Almarai,Almarai Apple 1.5L,Free Gift,0,Newspaper,"Asir, Eastern Province"
PROMO34547,2020-04-19,2020-04-30,Almarai,Dairy,Lusine,Lusine Cheese 200g,BOGO,14,"Influencers, SMS, Newspaper","Al Bahah, Makkah, Northern Borders"
PROMO59999,2020-04-20,2020-04-29,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,Free Gift,0,"Influencers, In-Store, Radio",Northern Borders
PROMO69902,2020-04-20,2020-05-14,Nestlé,Beverages,Milo,Milo 400g,BOGO,38,"TV, Social Media","Al Bahah, Madinah, Riyadh"
PROMO49934,2020-04-20,2020-05-12,Almarai,Dairy,Lusine,Lusine Cheese 200g,Discount,0,"Influencers, Radio, TV","Al Bahah, Qassim"
PROMO81320,2020-04-21,2020-05-09,Almarai,Dairy,Lusine,Lusine Cheese 200g,Free Gift,0,"Social Media, Influencers, In-Store",Hail
PROMO18670,2020-04-21,2020-05-01,Almarai,Dairy,Almarai,Almarai Milk 1L,Bundle,16,"Newspaper, SMS","Makkah, Riyadh, Northern Borders"
PROMO19357,2020-04-21,2020-05-03,PepsiCo,Snacks,Cheetos,Cheetos Crunchy,Discount,17,"In-Store, Newspaper",Madinah
PROMO63157,2020-04-21,2020-05-13,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,Bundle,0,"TV, Newspaper, Influencers","Northern Borders, Tabuk"
PROMO42879,2020-04-21,2020-05-19,Almarai,Juices,Almarai,Almarai Apple 1.5L,Free Gift,0,Social Media,Al Bahah
PROMO32240,2020-04-22,2020-05-03,Unilever,Food,Knorr,Knorr Chicken Cubes,Discount,22,"Influencers, Radio, Newspaper","Qassim, Najran, Al Bahah"
PROMO50358,2020-04-22,2020-05-19,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,Discount,20,Influencers,"Eastern Province, Hail"
PROMO47888,2020-04-22,2020-05-14,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,BOGO,17,In-Store,Al Bahah
PROMO63739,2020-04-22,2020-05-15,PepsiCo,Snacks,Lays,Lays Classic 40g,BOGO,23,Influencers,"Madinah, Najran"
PROMO66773,2020-04-22,2020-04-30,Unilever,Food,Lipton,Lipton Yellow Label 100g,Free Gift,0,In-Store,Madinah
PROMO12813,2020-04-22,2020-05-01,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,Free Gift,0,"TV, SMS","Tabuk, Jazan"
PROMO41915,2020-04-22,2020-05-10,Procter & Gamble,Personal Care,Gillette,Gillette Razor,Free Gift,18,Social Media,"Najran, Jazan, Tabuk"
PROMO25326,2020-04-23,2020-05-16,Procter & Gamble,Personal Care,Gillette,Gillette Razor,Free Gift,0,Radio,"Riyadh, Makkah, Qassim"
PROMO47517,2020-04-23,2020-05-20,Nestlé,Dairy,Nido,Nido 900g,Bundle,15,"Newspaper, SMS","Asir, Northern Borders, Al Bahah"
PROMO59600,2020-04-23,2020-05-16,PepsiCo,Beverages,7Up,7Up 1L Bottle,Free Gift,0,Newspaper,"Najran, Eastern Province, Jazan"
PROMO12902,2020-04-23,2020-05-09,Almarai,Dairy,Lusine,Lusine Cheese 200g,Bundle,35,"Influencers, Radio","Najran, Jazan"
PROMO90816,2020-04-24,2020-05-16,Almarai,Dairy,Lusine,Lusine Cheese 200g,Free Gift,14,"Radio, Newspaper","Asir, Madinah"
PROMO86851,2020-04-26,2020-05-24,Procter & Gamble,Personal Care,Pantene,Pantene Shampoo 400ml,BOGO,13,Newspaper,"Tabuk, Qassim"
PROMO88831,2020-04-26,2020-05-20,Unilever,Personal Care,Dove,Dove Soap 90g,Discount,9,In-Store,"Hail, Makkah"
PROMO25529,2020-04-27,2020-05-18,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,BOGO,21,"Social Media, Radio",Madinah
PROMO89139,2020-04-29,2020-05-08,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,Discount,7,TV,Makkah
PROMO84889,2020-04-29,2020-05-08,Nestlé,Dairy,Cerelac,Cerelac Wheat 400g,Free Gift,8,Newspaper,Madinah
PROMO80115,2020-04-30,2020-05-28,PepsiCo,Beverages,Pepsi,Pepsi 330ml Can,Discount,19,"SMS, Social Media","Hail, Jazan, Madinah"
PROMO58279,2020-04-30,2020-05-26,Unilever,Food,Knorr,Knorr Chicken Cubes,Discount,21,"In-Store, Social Media, Influencers",Asir
PROMO81224,2020-04-30,2020-05-24,Almarai,Dairy,Lusine,Lusine Cheese 200g,Free Gift,30,SMS,"Jazan, Najran"
PROMO62871,2020-05-03,2020-05-20,Almarai,Juices,Almarai,Almarai Mango 1.5L,Free Gift,23,SMS,Eastern Province
PROMO59098,2020-05-04,2020-05-12,Procter & Gamble,Home Care,Fairy,Fairy Dish Soap,Bundle,27,"TV, Radio","Tabuk, Asir"
