Date,City,Location,Branch,Store Name,Category,Subcategory,Brand,Product,Units Sold,Sales,Expenses,OSA,Classification,Waste,Waste Reason,Lost from Waste,Salvageable
1/3/2024,Dammam,Al Shati,Branch I,Store I,Snacks,Cookies,Brand H,Biscuits Strawberry,8,29.71182,20,0.223653672,MT,0,,0,0.00%
1/3/2024,Mecca,Al Aziziyah,Branch R,Store R,Snacks,Cookies,Brand J,Biscuits Vanilla,17.91476285,297.8521733,173.459763,0.204270385,DS,0,,0,0.00%
1/3/2024,Riyadh,Al Nakheel,Branch V,Store V,Beverages,Soft Drinks,Brand H,Pepsi Can 330ml,11,42.91986,29,0.209432313,SS,0,,0,0.00%
1/3/2024,Medina,Al Qiblatayn,Branch T,Store T,Dairy,Cheese,Brand E,Emmental Cheese,10,278.55938,192,0.851155481,WS,0,,0,0.00%
1/3/2024,Dammam,Al Shati,Branch W,Store W,Frozen Foods,Desserts,Brand C,Ice Cream Strawberry,16.24509248,250.711044,59.20870676,0.90332318,MT,0,,0,0.00%
1/3/2024,Riyadh,Al Nakheel,Branch M,Store M,Snacks,Cookies,Brand B,Biscuits Vanilla,7,60.45496,41,0.958341872,SS,0,,0,0.00%
1/4/2024,Mecca,Al Awali,Branch V,Store V,Snacks,Chips,Brand B,Potato Chips Vinegar,3,67.9824,52,0.621654589,SS,0,,0,0.00%
1/4/2024,Riyadh,Al Nakheel,Branch C,Store C,Dairy,Yogurt,Brand C,Yogurt Cup Plain,7.418607307,188.588524,213.5985989,0.905982539,SS,0,,0,0.00%
1/4/2024,Medina,Al Madinah,Branch W,Store W,Snacks,Cookies,Brand F,Biscuits Strawberry,29.73152043,293.6681808,313.0287948,0.563030458,MT,0,,0,0.00%
1/4/2024,Medina,Al Qiblatayn,Branch S,Store S,Frozen Foods,Frozen Meat,Brand F,Chicken Nuggets,19.18693561,216.7288619,90.3718483,0.937114727,SS,0,,0,0.00%
1/4/2024,Dammam,Al Khobar,Branch Z,Store Z,Dairy,Milk,Brand E,Full Fat Milk 1L,1,20.9916,16,0.849498594,MT,0,,0,0.00%
1/4/2024,Mecca,Al Aziziyah,Branch B,Store B,Dairy,Yogurt,Brand I,Yogurt Cup Flavored,3.173754504,54.02375074,28.90077701,0.443792986,DS,0,,0,0.00%
1/5/2024,Mecca,Al Aziziyah,Branch Z,Store Z,Frozen Foods,Desserts,Brand C,Ice Cream Vanilla,15.62197355,53.43632463,40.43817136,0.80120566,MT,0,,0,0.00%
1/5/2024,Mecca,Al Awali,Branch K,Store K,Bakery,Bread,Brand E,White Bread,3,46.13364,31,0.673417311,WS,0,,0,0.00%
1/5/2024,Medina,Al Qiblatayn,Branch A,Store A,Dairy,Milk,Brand I,Full Fat Milk 1L,19.67626783,969.4424553,857.7946104,0.015796662,SS,0,,0,0.00%
1/5/2024,Jeddah,Al Andalus,Branch U,Store U,Bakery,Bread,Brand I,White Bread,14.61535533,467.4626785,360.7391928,0.421743265,WS,0,,0,0.00%
1/5/2024,Riyadh,Al Nakheel,Branch W,Store W,Dairy,Cheese,Brand A,Cheddar Cheese,11,136.46472,107,0.177126213,MT,0,,0,0.00%
1/5/2024,Medina,Al Madinah,Branch U,Store U,Snacks,Chocolate,Brand E,Chocolat with Nuts,1,4.69854,3,0.915078685,WS,0,,0,0.00%
1/5/2024,Dammam,Al Faisaliyah,Branch F,Store F,Beverages,Soft Drinks,Brand G,Pepsi Can 330ml,3,24.38814,17,0.299754437,MT,0,,0,0.00%
1/5/2024,Medina,Al Qiblatayn,Branch A,Store A,Dairy,Cheese,Brand G,Cheddar Cheese,3,102.16794,77,0.231893553,SS,5,Incorrect Labeling,190.0445313,98.18%
1/5/2024,Riyadh,Al Nakheel,Branch N,Store N,Dairy,Milk,Brand B,Full Fat Milk 1L,7,91.6797,65,0.251559113,MT,4,Product Expired,55.97051282,0.00%
1/6/2024,Dammam,Al Shati,Branch O,Store O,Snacks,Chips,Brand J,Potato Chips Ketchup,1.792790175,16.94332832,4.556747584,0.875541201,DS,0,,0,0.00%
1/6/2024,Dammam,Al Faisaliyah,Branch I,Store I,Snacks,Chocolate,Brand D,Chocolat Waffer,5,148.38208,106,0.06825288,MT,0,,0,0.00%
1/6/2024,Mecca,Al Aziziyah,Branch F,Store F,Snacks,Chips,Brand H,Potato Chips Salts,11,208.48784,133,0.89442621,MT,0,,0,0.00%
1/6/2024,Jeddah,Al Rawdah,Branch V,Store V,Dairy,Milk,Brand C,Skimmed Milk 1L,10.36163523,238.230821,113.7751804,0.499076646,SS,0,,0,0.00%
1/6/2024,Jeddah,Al Hamra,Branch C,Store C,Beverages,Water,Brand J,Mineral Water 500ml,8.458676141,156.3340099,188.7943914,0.134327102,SS,0,,0,0.00%
1/7/2024,Medina,Al Madinah,Branch T,Store T,Bakery,Pastry,Brand J,Croissant Cheese,9.111531968,102.9174901,58.47279903,0.320634213,WS,0,,0,0.00%
1/7/2024,Medina,Al Madinah,Branch D,Store D,Bakery,Bread,Brand G,Brown Bread,13,354.0735,260,0.519721924,SS,15,Spoiled Product,419.85,0.00%
1/7/2024,Medina,Al Madinah,Branch I,Store I,Bakery,Bread,Brand D,White Bread,9,211.47718,132,0.958234089,MT,0,,0,0.00%
1/7/2024,Jeddah,Al Rawdah,Branch N,Store N,Beverages,Water,Brand B,Mineral Water 1L,4,101.58502,66,0.504100741,MT,0,,0,0.00%
1/7/2024,Jeddah,Al Hamra,Branch P,Store P,Dairy,Cheese,Brand C,Gouda Cheese,19.73479811,574.9685229,548.3775304,0.482838053,WS,0,,0,0.00%
1/8/2024,Dammam,Al Khobar,Branch G,Store G,Dairy,Cheese,Brand E,Cheddar Cheese,14,422.05008,293,0.041549915,WS,0,,0,0.00%
1/8/2024,Jeddah,Al Hamra,Branch Y,Store Y,Frozen Foods,Frozen Meat,Brand A,Chicken Tender,6,78.264,61,0.209952815,MT,0,,0,0.00%
1/8/2024,Riyadh,Al Nakheel,Branch E,Store E,Beverages,Water,Brand F,Mineral Water 1L,12.17068122,299.0608752,386.6152593,0.328784052,DS,0,,0,0.00%
1/8/2024,Mecca,Al Awali,Branch C,Store C,Frozen Foods,Ready Meals,Brand H,Frozen Kebbeh,2,18.42192,14,0.616826756,SS,0,,0,0.00%
1/8/2024,Medina,Al Madinah,Branch S,Store S,Frozen Foods,Desserts,Brand F,Ice Cream Chocolat,12.9558321,377.2416497,369.2809428,0.576842801,SS,0,,0,0.00%
1/8/2024,Riyadh,Al Malaz,Branch M,Store M,Frozen Foods,Ready Meals,Brand J,Frozen Pizza Cheese,14.34677311,221.2541611,195.4275423,0.04976904,SS,0,,0,0.00%
1/8/2024,Mecca,Al Aziziyah,Branch A,Store A,Bakery,Pastry,Brand B,Muffin Plain,5,146.49072,114,0.733450564,SS,9,Incorrect Labeling,323.1412941,0.50%
1/8/2024,Medina,Al Qiblatayn,Branch B,Store B,Beverages,Soft Drinks,Brand C,Pepsi Can 330ml,22.13038935,66.03669324,48.13181467,0.706752746,DS,0,,0,0.00%
1/8/2024,Medina,Al Madinah,Branch N,Store N,Beverages,Soft Drinks,Brand I,Mirinda Can 330ml,18.27255103,114.3637488,133.2005531,0.843372104,MT,0,,0,0.00%
1/8/2024,Riyadh,Olaya,Branch L,Store L,Dairy,Milk,Brand G,Full Fat Milk 1L,12,150.3024,107,0.959072963,WS,32,Packaging Defect,428.2119658,27.36%
1/9/2024,Dammam,Al Khobar,Branch J,Store J,Beverages,Juice,Brand C,Carrot Juice 1L,15.58632903,185.3829202,51.36682531,0.917285483,MT,0,,0,0.00%
1/9/2024,Jeddah,Al Rawdah,Branch B,Store B,Bakery,Pastry,Brand D,Croissant Chocolat,2,26.831,17,0.939027145,DS,0,,0,0.00%
1/9/2024,Medina,Al Madinah,Branch Y,Store Y,Frozen Foods,Frozen Meat,Brand B,Chicken Nuggets,11,133.4305,97,0.567336698,MT,0,,0,0.00%
1/9/2024,Mecca,Al Awali,Branch M,Store M,Bakery,Pastry,Brand B,Croissant Cheese,4,8.7095,6,0.04517508,SS,0,,0,0.00%
1/9/2024,Mecca,Al Awali,Branch C,Store C,Frozen Foods,Frozen Meat,Brand J,Chicken Tender,9.636760789,295.0443796,549.4729922,0.451003373,SS,0,,0,0.00%
1/9/2024,Jeddah,Al Andalus,Branch D,Store D,Snacks,Chocolate,Brand A,Chocolat with Nuts,2,31.644,20,0.498957244,SS,0,,0,0.00%
1/9/2024,Riyadh,Olaya,Branch A,Store A,Frozen Foods,Desserts,Brand D,Ice Cream Strawberry,12,429.9055,307,0.17989461,SS,0,,0,0.00%
1/9/2024,Dammam,Al Shati,Branch N,Store N,Beverages,Water,Brand H,Mineral Water 1L,15,52.3305,37,0.384893856,MT,0,,0,0.00%
1/9/2024,Jeddah,Al Hamra,Branch T,Store T,Bakery,Pastry,Brand F,Muffin Plain,13.61499451,95.72660483,84.31202208,0.553562652,WS,0,,0,0.00%
1/9/2024,Dammam,Al Faisaliyah,Branch R,Store R,Snacks,Cookies,Brand G,Biscuits Vanilla,3,58.853,42,0.039751073,DS,0,,0,0.00%
1/10/2024,Mecca,Al Awali,Branch W,Store W,Bakery,Pastry,Brand J,Croissant Zaatar,20.85637463,243.125315,326.2634596,0.405317419,MT,0,,0,0.00%
1/10/2024,Medina,Al Qiblatayn,Branch A,Store A,Snacks,Cookies,Brand D,Biscuits Chocolat,13,453.87264,315,0.451738337,SS,0,,0,0.00%
1/10/2024,Mecca,Al Awali,Branch Y,Store Y,Snacks,Chocolate,Brand E,Chocolat with Nuts,1,2.418,2,0.717662324,MT,0,,0,0.00%
1/10/2024,Riyadh,Al Nakheel,Branch F,Store F,Frozen Foods,Desserts,Brand E,Ice Cream Chocolat,15,112.37044,80,0.20075661,MT,0,,0,0.00%
1/11/2024,Medina,Al Madinah,Branch K,Store K,Snacks,Chips,Brand J,Potato Chips Vinegar,6.235501862,124.5189801,82.75314373,0.448410538,WS,0,,0,0.00%
1/11/2024,Mecca,Al Aziziyah,Branch V,Store V,Frozen Foods,Ready Meals,Brand H,Frozen Pizza Cheese,9,124.5159,99,0.71975721,SS,0,,0,0.00%
1/11/2024,Mecca,Al Aziziyah,Branch C,Store C,Dairy,Milk,Brand H,Skimmed Milk 1L,2,19.52856,13,0.9013195,SS,0,,0,0.00%
1/11/2024,Dammam,Al Shati,Branch X,Store X,Bakery,Pastry,Brand J,Croissant Chocolat,4.683355097,169.5056587,143.0056328,0.479882424,WS,0,,0,0.00%
1/11/2024,Riyadh,Al Malaz,Branch X,Store X,Frozen Foods,Frozen Meat,Brand B,Chicken Nuggets,6,124.25508,82,0.150889134,WS,0,,0,0.00%
1/11/2024,Dammam,Al Faisaliyah,Branch K,Store K,Bakery,Pastry,Brand J,Croissant Chocolat,22.50237571,399.6483169,182.4235463,0.851894613,WS,0,,0,0.00%
1/11/2024,Dammam,Al Khobar,Branch U,Store U,Dairy,Milk,Brand G,Full Fat Milk 1L,10,149.69556,103,0.788830399,WS,22,Spoiled Product,348.4976,0.00%
1/11/2024,Riyadh,Olaya,Branch V,Store V,Bakery,Pastry,Brand D,Croissant Chocolat,2,62.04816,41,0.447847286,SS,0,,0,0.00%
1/11/2024,Riyadh,Al Malaz,Branch O,Store O,Beverages,Juice,Brand E,Orange Juice 1L,2,56.14596,37,0.207247235,DS,5,Spoiled Product,157.5363636,0.00%
1/11/2024,Riyadh,Olaya,Branch K,Store K,Frozen Foods,Frozen Meat,Brand I,Chicken Tender,24.04627689,77.76746053,68.77990979,0.707920735,WS,0,,0,0.00%
1/11/2024,Dammam,Al Faisaliyah,Branch C,Store C,Bakery,Bread,Brand J,Whole Bread,2.42515742,21.99455769,10.15435869,0.783633135,SS,0,,0,0.00%
1/12/2024,Riyadh,Al Nakheel,Branch W,Store W,Dairy,Cheese,Brand I,Cheddar Cheese,18.24059456,356.1352276,274.1839114,0.036057059,MT,0,,0,0.00%
1/12/2024,Jeddah,Al Hamra,Branch B,Store B,Bakery,Pastry,Brand C,Muffin Plain,7.132749826,265.1618774,75.82282826,0.172172586,DS,0,,0,0.00%
1/12/2024,Jeddah,Al Andalus,Branch W,Store W,Frozen Foods,Frozen Meat,Brand G,Hamburger,7,260.38376,185,0.285947987,MT,0,,0,0.00%
1/12/2024,Mecca,Al Awali,Branch V,Store V,Beverages,Water,Brand A,Water Gallon 5L,10,329.06104,254,0.131493213,SS,0,,0,0.00%
1/12/2024,Mecca,Al Aziziyah,Branch F,Store F,Snacks,Cookies,Brand B,Biscuits Strawberry,6,100.6852,62,0.766708123,MT,0,,0,0.00%
1/12/2024,Jeddah,Al Hamra,Branch R,Store R,Dairy,Yogurt,Brand D,Yogurt Cup Flavored,4,131.6644,100,0.433510704,DS,0,,0,0.00%
1/12/2024,Medina,Al Madinah,Branch R,Store R,Frozen Foods,Desserts,Brand J,Ice Cream Vanilla,26.16859714,184.8197812,85.91046619,0.582494791,DS,0,,0,0.00%
1/13/2024,Riyadh,Olaya,Branch J,Store J,Frozen Foods,Desserts,Brand F,Ice Cream Chocolat,25.73621942,474.0611268,441.1380093,0.8282833,MT,0,,0,0.00%
1/13/2024,Riyadh,Al Malaz,Branch M,Store M,Beverages,Juice,Brand F,Orange Juice 1L,3.712301747,74.60461258,47.47156935,0.987945407,SS,0,,0,0.00%
1/13/2024,Riyadh,Olaya,Branch R,Store R,Bakery,Bread,Brand C,Whole Bread,5.299675619,59.19600271,60.91182898,0.879601118,DS,0,,0,0.00%
1/13/2024,Jeddah,Al Andalus,Branch K,Store K,Bakery,Pastry,Brand H,Croissant Chocolat,14,496.06472,325,0.742374498,WS,0,,0,0.00%
1/13/2024,Medina,Al Madinah,Branch O,Store O,Snacks,Chips,Brand E,Potato Chips Ketchup,13,38.43196,29,0.390824248,DS,0,,0,0.00%
1/13/2024,Mecca,Al Aziziyah,Branch S,Store S,Bakery,Bread,Brand H,White Bread,1,2.27302,2,0.931308629,SS,0,,0,0.00%
1/13/2024,Riyadh,Al Nakheel,Branch Z,Store Z,Beverages,Water,Brand C,Mineral Water 1L,6.886370601,17.76006207,19.97485696,0.553535049,MT,0,,0,0.00%
1/13/2024,Jeddah,Al Andalus,Branch K,Store K,Dairy,Yogurt,Brand J,Yogurt Cup Flavored,28.41320085,371.6460798,222.4399817,0.09768971,WS,0,,0,0.00%
1/13/2024,Riyadh,Al Nakheel,Branch B,Store B,Snacks,Cookies,Brand A,Biscuits Chocolat,4,54.13778,32,0.239287867,DS,0,,0,0.00%
1/13/2024,Dammam,Al Faisaliyah,Branch M,Store M,Frozen Foods,Frozen Meat,Brand G,Chicken Tender,12,279.74038,206,0.109868169,SS,0,,0,0.00%
1/13/2024,Dammam,Al Khobar,Branch E,Store E,Snacks,Chips,Brand E,Potato Chips Salts,6,215.07328,137,0.953705244,DS,0,,0,0.00%
1/14/2024,Riyadh,Al Nakheel,Branch U,Store U,Beverages,Soft Drinks,Brand E,Pepsi Can 330ml,18,579.09,402,0.967835333,WS,0,,0,0.00%
1/14/2024,Mecca,Al Aziziyah,Branch L,Store L,Beverages,Soft Drinks,Brand D,Mirinda Can 330ml,2,4.3326,3,0.019338407,WS,0,,0,0.00%
1/14/2024,Mecca,Al Aziziyah,Branch N,Store N,Dairy,Yogurt,Brand C,Yogurt Cup Flavored,26.42544918,191.5433878,141.6072417,0.418742046,MT,0,,0,0.00%
1/14/2024,Mecca,Al Aziziyah,Branch W,Store W,Beverages,Soft Drinks,Brand G,Mirinda Can 330ml,5,55.7922,38,0.97592812,MT,0,,0,0.00%
1/14/2024,Mecca,Al Aziziyah,Branch N,Store N,Snacks,Chocolate,Brand J,Chocolat with Nuts,6.355633474,126.5704435,149.2513585,0.294882513,MT,0,,0,0.00%
1/14/2024,Dammam,Al Faisaliyah,Branch S,Store S,Beverages,Juice,Brand F,Orange Juice 1L,32.42211538,622.6407585,269.2262652,0.044378368,SS,0,,0,0.00%
1/14/2024,Dammam,Al Shati,Branch M,Store M,Snacks,Chocolate,Brand C,Chocolat with Nuts,24.7384806,251.4158909,72.90362115,0.896030072,SS,0,,0,0.00%
1/14/2024,Riyadh,Olaya,Branch N,Store N,Snacks,Chocolate,Brand A,Chocolat with Nuts,14,500.2614,382,0.719651877,MT,0,,0,0.00%
1/14/2024,Riyadh,Olaya,Branch C,Store C,Bakery,Pastry,Brand D,Croissant Chocolat,7,164.4282,100,0.139987205,SS,0,,0,0.00%
1/14/2024,Jeddah,Al Andalus,Branch N,Store N,Beverages,Water,Brand B,Water Gallon 5L,7,213.957,152,0.270883497,MT,0,,0,0.00%
1/14/2024,Mecca,Al Awali,Branch J,Store J,Beverages,Water,Brand B,Mineral Water 500ml,2,53.4306,36,0.215881702,MT,0,,0,0.00%
1/14/2024,Riyadh,Al Malaz,Branch G,Store G,Beverages,Juice,Brand G,Carrot Juice 1L,15,51.3258,41,0.117612744,WS,38,Packaging Defect,132.1395935,75.85%
1/14/2024,Medina,Al Qiblatayn,Branch H,Store H,Dairy,Yogurt,Brand E,Yogurt Cup Plain,11,237.4068,165,0.378965738,DS,0,,0,0.00%
1/14/2024,Medina,Al Madinah,Branch S,Store S,Frozen Foods,Frozen Meat,Brand H,Hamburger,3,29.5254,20,0.467893138,SS,0,,0,0.00%
1/14/2024,Riyadh,Al Nakheel,Branch M,Store M,Beverages,Juice,Brand E,Orange Juice 1L,15,148.7526,105,0.21660316,SS,31,Packaging Defect,312.4207724,44.79%
1/15/2024,Jeddah,Al Hamra,Branch J,Store J,Frozen Foods,Ready Meals,Brand D,Frozen Pizza Cheese,8,301.17988,183,0.011144706,MT,0,,0,0.00%
1/15/2024,Jeddah,Al Andalus,Branch I,Store I,Snacks,Cookies,Brand B,Biscuits Chocolat,6,62.46934,47,0.852567009,MT,0,,0,0.00%
1/15/2024,Jeddah,Al Rawdah,Branch R,Store R,Beverages,Water,Brand G,Mineral Water 500ml,8,183.51628,129,0.175148869,DS,0,,0,0.00%
1/15/2024,Medina,Al Qiblatayn,Branch T,Store T,Frozen Foods,Desserts,Brand I,Ice Cream Chocolat,12.1101336,618.766441,956.3952516,0.981861877,WS,0,,0,0.00%
1/15/2024,Mecca,Al Aziziyah,Branch E,Store E,Beverages,Soft Drinks,Brand H,Seven Up Can 330ml,16,286.6508,190,0.858495875,DS,0,,0,0.00%
1/15/2024,Dammam,Al Shati,Branch L,Store L,Bakery,Bread,Brand B,White Bread,3,6.44242,4,0.175556152,WS,4,Packaging Defect,12.59515152,31.94%
1/15/2024,Jeddah,Al Andalus,Branch L,Store L,Frozen Foods,Ready Meals,Brand F,Frozen Pizza Cheese,32.46225699,434.2601634,216.7971918,0.279207938,WS,0,,0,0.00%
1/15/2024,Riyadh,Al Malaz,Branch I,Store I,Beverages,Soft Drinks,Brand C,Mirinda Can 330ml,43.25615173,1338.499961,448.5350103,0.16808839,MT,0,,0,0.00%
1/15/2024,Dammam,Al Faisaliyah,Branch O,Store O,Snacks,Chips,Brand G,Potato Chips Ketchup,8,299.8816,239,0.835129699,DS,0,,0,0.00%
1/15/2024,Dammam,Al Khobar,Branch G,Store G,Snacks,Chocolate,Brand I,Chocolat with Nuts,20.47968099,283.944384,197.4202182,0.663760189,WS,0,,0,0.00%
1/16/2024,Jeddah,Al Andalus,Branch U,Store U,Dairy,Cheese,Brand G,Cheddar Cheese,13,127.71584,101,0.974411973,WS,25,Product Expired,245.7586207,0.00%
1/16/2024,Riyadh,Olaya,Branch K,Store K,Snacks,Chips,Brand B,Potato Chips Vinegar,3,67.10656,51,0.36943496,WS,0,,0,0.00%
1/16/2024,Dammam,Al Faisaliyah,Branch Z,Store Z,Bakery,Bread,Brand E,Brown Bread,7,123.13344,97,0.441855363,MT,0,,0,0.00%
1/16/2024,Medina,Al Madinah,Branch Q,Store Q,Bakery,Pastry,Brand G,Croissant Chocolat,5,142.05056,90,0.178258751,DS,8,Damaged Item,230.6015584,60.32%
1/16/2024,Mecca,Al Aziziyah,Branch R,Store R,Beverages,Soft Drinks,Brand A,Pepsi Can 330ml,9,143.93664,113,0.443613038,DS,0,,0,0.00%
1/16/2024,Medina,Al Qiblatayn,Branch F,Store F,Bakery,Pastry,Brand C,Croissant Chocolat,17.94916058,706.7889821,485.7188464,0.809008816,MT,0,,0,0.00%
1/17/2024,Riyadh,Al Malaz,Branch O,Store O,Frozen Foods,Ready Meals,Brand B,Frozen Pizza Cheese,18,594.85272,475,0.322728152,DS,0,,0,0.00%
1/17/2024,Riyadh,Al Nakheel,Branch J,Store J,Frozen Foods,Frozen Meat,Brand H,Chicken Tender,16,453.08538,285,0.766720993,MT,0,,0,0.00%
1/17/2024,Medina,Al Qiblatayn,Branch X,Store X,Frozen Foods,Frozen Meat,Brand J,Chicken Tender,35.99272205,553.5417915,507.9750614,0.119928799,WS,0,,0,0.00%
1/17/2024,Riyadh,Olaya,Branch P,Store P,Frozen Foods,Desserts,Brand I,Ice Cream Strawberry,17.95715666,228.4322003,109.5186953,0.441436317,WS,0,,0,0.00%
1/17/2024,Jeddah,Al Rawdah,Branch Q,Store Q,Frozen Foods,Frozen Meat,Brand G,Chicken Nuggets,4,21.27048,16,0.766076227,DS,0,,0,0.00%
1/17/2024,Dammam,Al Faisaliyah,Branch V,Store V,Bakery,Pastry,Brand J,Croissant Chocolat,6.356525672,85.9451267,77.37638666,0.96533251,SS,0,,0,0.00%
1/17/2024,Riyadh,Al Nakheel,Branch L,Store L,Dairy,Milk,Brand D,Skimmed Milk 1L,13,195.22074,125,0.177947834,WS,0,,0,0.00%
1/17/2024,Medina,Al Madinah,Branch U,Store U,Bakery,Bread,Brand A,Whole Bread,8,187.12782,139,0.748239932,WS,0,,0,0.00%
1/18/2024,Medina,Al Qiblatayn,Branch T,Store T,Frozen Foods,Desserts,Brand A,Ice Cream Strawberry,11,185.29796,120,0.924889813,WS,0,,0,0.00%
1/18/2024,Dammam,Al Faisaliyah,Branch R,Store R,Snacks,Chocolate,Brand F,Chocolat Waffer,5.715878168,60.43030487,52.32772254,0.922783712,DS,0,,0,0.00%
1/18/2024,Medina,Al Madinah,Branch I,Store I,Dairy,Cheese,Brand B,Emmental Cheese,13,91.63068,68,0.654936288,MT,26,Product Expired,187.3543316,0.00%
1/18/2024,Dammam,Al Faisaliyah,Branch V,Store V,Beverages,Water,Brand H,Mineral Water 500ml,12,72.94632,52,0.827556301,SS,0,,0,0.00%
1/18/2024,Dammam,Al Khobar,Branch T,Store T,Beverages,Soft Drinks,Brand D,Seven Up Can 330ml,18,233.00608,167,0.135764018,WS,0,,0,0.00%
1/18/2024,Riyadh,Al Malaz,Branch O,Store O,Snacks,Chocolate,Brand F,Chocolat Waffer,24.40510319,199.7592024,227.3002605,0.495570134,DS,0,,0,0.00%
1/18/2024,Dammam,Al Shati,Branch S,Store S,Dairy,Cheese,Brand H,Cheddar Cheese,8,53.61528,35,0.439754975,SS,0,,0,0.00%
1/18/2024,Mecca,Al Aziziyah,Branch B,Store B,Dairy,Cheese,Brand E,Gouda Cheese,13,203.15204,124,0.360514995,DS,0,,0,0.00%
1/18/2024,Mecca,Al Aziziyah,Branch V,Store V,Beverages,Juice,Brand D,Orange Juice 1L,1,2.95052,2,0.65871175,SS,0,,0,0.00%
1/18/2024,Mecca,Al Awali,Branch Y,Store Y,Frozen Foods,Desserts,Brand D,Ice Cream Chocolat,5,145.84164,97,0.63692593,MT,0,,0,0.00%
1/18/2024,Mecca,Al Awali,Branch R,Store R,Frozen Foods,Ready Meals,Brand C,Frozen Pizza Cheese,3.743795352,91.90890199,36.92236859,0.132066539,DS,0,,0,0.00%
1/18/2024,Jeddah,Al Rawdah,Branch G,Store G,Dairy,Yogurt,Brand F,Yogurt Cup Plain,18.75312352,994.301362,366.0955588,0.446062222,WS,1,Damaged Item,37.9397541,93.02%
1/18/2024,Jeddah,Al Andalus,Branch H,Store H,Beverages,Soft Drinks,Brand A,Pepsi Can 330ml,15,446.71716,343,0.01672449,DS,0,,0,0.00%
1/19/2024,Medina,Al Madinah,Branch T,Store T,Bakery,Pastry,Brand B,Muffin Chocolate,7,241.2207,168,0.709243485,WS,0,,0,0.00%
1/19/2024,Dammam,Al Khobar,Branch N,Store N,Beverages,Juice,Brand H,Orange Juice 1L,7,77.1953,55,0.620701765,MT,0,,0,0.00%
1/19/2024,Jeddah,Al Andalus,Branch J,Store J,Dairy,Cheese,Brand A,Gouda Cheese,2,18.3687,14,0.780522155,MT,0,,0,0.00%
